Institution,Count,City,State,District,Representative,Notes,llm_state,llm_labeled_successfully,llm_city,llm_zip,Unnamed: 11,llm_label
Pacific Biosciences,1,,,,,,CA,yes,Menlo Park,94025,,"Kevin Mullin, Anna G. Eshoo"
Palo Alto Research Center,1,,,,,,CA,yes,Palo Alto,94304,,Anna G. Eshoo
Panazee Inc.,1,,,,,,CA,yes,San Francisco,94107,,Nancy Pelosi
Pfizer Inc.,1,,,,,,NY,yes,New York City,10017,,"Nydia M. Velazquez, Jerrold Nadler"
Prolynx LLC,1,,,,,,CA,yes,San Francisco,94107,,Nancy Pelosi
Protea Biosciences Inc.,1,,,,,,TN,yes,Morgantown,37814,,Diana Harshbarger
PsiQuantum Corp,1,,,,,,CA,yes,Palo Alto,94304,,Anna G. Eshoo
Radiation Monitoring Devices,1,,,,,,MA,yes,Watertown,02472,,"Jake Auchincloss, Katherine M. Clark"
Retired from Corning Inc.,1,,,,,,NY,yes,Corning,14831,,Nicholas A. Langworthy
"Rivian Automotive, LLC",1,,,,,,MI,yes,Plymouth,48170,,Debbie Dingell
Robert Bosch LLC (North America),1,,,,,,MI,yes,Farmington Hills,48331,,Haley M. Stevens
San Diego State University,1,,,,,,CA,yes,San Diego,92182,,Sara Jacobs
Santa Clara University,1,,,,,,CA,yes,Santa Clara,95053,,Ro Khanna
Sarnoff Corporation,1,,,,,,NJ,yes,Princeton,08540,,"Andy Kim, Bonnie Watson Coleman"
SEMATECH,1,,,,,,TX,yes,Austin,78741,,Greg Casar
Sencera LLC,1,,,,,,AZ,yes,Tucson,85747,,Juan Ciscomani
Sp2 Carbon,1,,,,,,OH,yes,Cincinnati,45227,,Greg Landsman
SpectraWatt Inc.,1,,,,,,NY,yes,Hopewell Junction,12533,,"Michael Lawler, Patrick Ryan"
SRI International,1,,,,,,CA,yes,Menlo Park,94025,,"Kevin Mullin, Anna G. Eshoo"
Stanford School of Medicine,1,,,,,,CA,yes,Stanford,94305,,Anna G. Eshoo
"State University of New York (SUNY), Stony Brook",1,,,,,,NY,yes,Stony Brook,11794,,Nick LaLota
State University of New York at Buffalo (SUNY Buffalo),1,,,,,,NY,yes,Buffalo,14260,,Brian Higgins
SUNY Downstate Medical Center,1,,,,,,NY,yes,Brooklyn,11203,,Yvette D. Clarke
SUNY Stony Brook,1,,,,,,NY,yes,Stony Brook,11794,,Nick LaLota
Swift Solar Inc.,1,,,,,,CO,yes,Boulder,80301,,Joe Neguse
Temple University,1,,,,,,PA,yes,Philadelphia,19122,,"Brian K. Fitzpatrick, Brendan F. Boyle"
Temple University of the Commonwealth System of Higher Education,1,,,,,,PA,yes,Philadelphia,19122,,"Brian K. Fitzpatrick, Brendan F. Boyle"
The Long Now Foundation,1,,,,,,CA,yes,San Francisco,94110,,Nancy Pelosi
The University of Iowa,1,,,,,,IA,yes,Iowa City,52242,,Mariannette Miller-Meeks
The University of Oklahoma,1,,,,,,OK,yes,Norman,73019,,Tom Cole
The University of Washington,1,,,,,,WA,yes,Seattle,98195,,Pramila Jayapal
Tulane University,1,,,,,,LA,yes,New Orleans,70118,,"Steve Scalise, Troy A. Carter"
Ultragenyx Pharmaceutical Inc.,1,,,,,,CA,yes,Novato,94949,,Jared Huffman
UMASS Medical School,1,,,,,,MA,yes,Worcester,01655,,James P. McGovern
University Affiliated Research Center (UC Santa Cruz) at NASA Ames,1,,,,,,CA,yes,Mountain View,94035,,Anna G. Eshoo
"University of Akron, The",1,,,,,,OH,yes,Akron,44325,,Emilia Strong Sykes
University of Alabama at Birmingham,1,,,,,,AL,yes,Birmingham,35294,,Terri A. Sewell
University of Arizona,1,,,,,,AZ,yes,Tucson,85721,,Raul M. Grijalva
University of Arkansas,1,,,,,,AR,yes,Fayetteville,72701,,Steve Womack
University of California at Los Angeles (UCLA),1,,,,,,CA,yes,Los Angeles,90095,,Ted Lieu
"University of California, Riverside",1,,,,,,CA,yes,Riverside,92521,,Mark Takano
University of Dayton Research Institute,1,,,,,,OH,yes,Dayton,45469,,Michael R. Turner
University of Georgia,1,,,,,,GA,yes,Athens,30602,,Mike Collins
University of Houston,1,,,,,,TX,yes,Houston,77204,,"Lizzie Fletcher, Al Green, Sheila Jackson Lee, Sylvia R. Garcia"
University of Idaho,1,,,,,,ID,yes,Moscow,83844,,Russ Fulcher
University of Maine,1,,,,,,ME,yes,Orono,04469,,Jared F. Golden
University of Massachusetts Medical School,1,,,,,,MA,yes,Worcester,01655,,James P. McGovern
"University of Massachusetts, Worcester",1,,,,,,MA,yes,Worcester,01655,,James P. McGovern
University of Missouri,1,,,,,,MO,yes,Columbia,65211,,"Blaine Luetkemeyer, Mark Alford"
University of Nebraska Medical Center,1,,,,,,NE,yes,Omaha,68198,,Don Bacon
University of North Texas,1,,,,,,TX,yes,Denton,76203,,"Ronny Jackson, Michael C. Burgess"
University of Notre Dame,1,,,,,,IN,yes,South Bend,46556,,Rudy Yakym III
University of Scranton,1,,,,,,PA,yes,Scranton,18510,,Matt Cartwright
University of South Carolina,1,,,,,,SC,yes,Columbia,29208,,James E. Clyburn
University of Vermont,1,,,,,,VT,yes,Burlington,05405,,Becca Balint
US DOE Ames Laboratory,1,,,,,,IA,yes,Ames,50011,,Randy Feenstra
USAFA,1,,,,,,CO,yes,Colorado Springs,80840,,Doug Lamborn
USDA/ARS/WRRC,1,,,,,,AZ,yes,Tucson,85719,,"Juan Ciscomani, Raul M. Grijalva"
"Viking Cold Solutions, Inc.",1,,,,,,TX,yes,Houston,77007,,"Lizzie Fletcher, Sheila Jackson Lee, Wesley Hunt"
Zyvex Labs,1,,,,,,TX,yes,Richardson,75081,,Colin Z. Allred
