description,label,llm_labeled_successfully,llm_label
"The Ground Lease has a term, including extensions options exercisable, and enforceable, by Lender, which extends not less than forty (40) years from the Closing Date.",Terms,yes,Terms
"The proceeds of Loans and Letters of Credit (a)  made on the Closing Date shall be applied by the Borrower to effect the Acquisition and the Existing Debt Refinancing, to pay Transaction Costs of the Borrower and its Restricted Subsidiaries and to cash collateralize and/or backstop letters of credit and (b)  made on and after the Closing Date shall be utilized for working capital and general corporate purposes (including to effect Permitted Acquisitions and Consolidated Capital Expenditures permitted hereunder); provided that no proceeds of Swing Line Loans may be used to repay or prepay outstanding Swing Line Loans. No portion of the proceeds of any Credit Extension shall be used in any manner that causes or might cause such Credit Extension or the application of such proceeds to violate Regulation T, Regulation U or Regulation X of the Board of Governors of the Federal Reserve System or any other regulation thereof or to violate the Exchange Act.",Use Of Proceeds,yes,Use Of Proceeds
"On or prior to each Borrowing Date, all necessary governmental (domestic and foreign) and material third party approvals and/or consents in connection with the Construction Contract, any Refund Guarantee (to the extent issued on or prior to such Borrowing Date), the Vessel and the other transactions contemplated hereby (except to the extent specifically addressed in other sections of Section 5 or this Section 6) shall have been obtained and remain in effect. On each Borrowing Date, there shall not exist any judgment, order, injunction or other restraint issued or filed or a hearing seeking injunctive relief or other restraint pending or notified prohibiting or imposing materially adverse conditions upon this Agreement, the Transaction or the other transactions contemplated by the Credit Documents.",Consents,yes,Approvals
"Consultant may not assign or subcontract this Consulting Agreement without the prior written consent of the Company. Any assignment or subcontract by Consultant in violation of this provision shall be null and void. The Company may assign this Consulting Agreement to one or more of its affiliates or to any successor to the business and/or assets of the Company. Subject to the foregoing, this Consulting Agreement shall be binding upon and inure to the benefit of the parties hereto and their respective permitted successors and assigns. Each of the Company’s affiliates, successors and assigns shall have full rights to enforce the restrictive covenants set forth in this Consulting Agreement.",Assignments,yes,Assignments
The fair salable value of Borrower’s consolidated assets (including goodwill minus disposition costs) exceeds the fair value of Borrower’s liabilities; Borrower is not left with unreasonably small capital after the transactions in this Agreement; and Borrower is able to pay its debts (including trade debts) as they mature.,Solvency,yes,Solvency
"This Agreement constitutes the entire agreement of the parties hereto and supersedes in their entirety all prior or contemporaneous representations, understandings, undertakings or agreements (whether oral or written and whether expressed or implied) of the parties with respect to the subject matter hereof, including, without limitation, any severance provisions provided under the Prior Severance Plan and contained in the Participation Agreement. Executive acknowledges and agrees that this Agreement encompasses all the rights of Executive to any severance payments and/or benefits based on the termination of Executive’s employment and Executive hereby agrees that he or she has no such rights except as stated herein. No waiver, alteration, or modification of any of the provisions of this Agreement will be binding unless in writing and signed by duly authorized representatives of the parties hereto and which specifically mention this Agreement.",Entire Agreements,yes,Entire Agreements
"This Security Agreement may be executed in any number of counterparts and by the different parties hereto on separate counterparts and each such counterpart shall be deemed to be an original, but all such counterparts shall together constitute but one and the same Security Agreement. Receipt of an executed signature page to this Security Agreement by facsimile or other electronic transmission shall constitute effective delivery thereof. Electronic records of executed Loan Documents maintained by the Bank shall be deemed to be originals thereof.",Counterparts,yes,Counterparts
"If any provision of the Certificate is or becomes or is deemed to be invalid, illegal or unenforceable in any jurisdiction or would disqualify the Certificate under any law deemed applicable by the Committee, such provision shall be construed or deemed amended to conform to applicable laws, or if it cannot be so construed or deemed amended without, in the determination of the Committee, materially altering the purpose or intent of the Plan or the Certificate, such provision shall be stricken as to such jurisdiction or the Certificate, and the remainder of the Certificate shall remain in full force and effect.",Severability,yes,Severability
"This Agreement embodies the complete agreement and understanding among the parties hereto with respect to the subject matter hereof and supersedes and preempts any prior understandings, agreements or representations by or among the parties, written or oral, which may have related to the subject matter hereof in any way, including the Commitment Agreement.",Entire Agreements,yes,Integration
"In the event Tenant is a corporation, the persons executing this Lease on behalf of Tenant hereby covenant and warrant that they are duly authorized to execute and deliver this Lease on behalf of Tenant; Tenant is a duly qualified corporation and all steps have been taken prior to the date hereof to qualify Tenant to do business in the state where the Building is situated; all franchise and corporate taxes have been paid to date; and all future forms, reports, fees and other documents necessary to comply with applicable laws will be filed when due.",Authority,yes,Authorizations
"As compensation for his services hereunder, during the Term, the Company shall pay the Executive in accordance with its normal payroll practices, an annualized base salary of $1,100,000 (“ Base Salary ”). Effective as of January 1, 2016, the amount of the Base Salary shall be increased to $1,200,000.",Base Salary,yes,Base Salary
"This Agreement and any disputes hereunder shall be governed by and interpreted in accordance with the laws of the State of Delaware, without application of its conflicts of laws principles, and the Federal Arbitration Act.",Governing Laws,yes,Governing Laws
"Seller has not violated in any material respect any, and Seller is in compliance in all material respects with all, applicable laws, rules and regulations with respect to the ownership and use of the Property.",Compliance With Laws,yes,Compliance With Laws
"Except for the subsidiaries described in Schedule 3(a) , the Company has no subsidiaries and (i) does not otherwise own or control, directly or indirectly, any other Person and (ii) does not hold equity interests, directly or indirectly, in any other Person. Except as otherwise disclosed herein or in the PPM, the Company is not a participant in any joint venture, partnership, or similar arrangement material to its business.",Subsidiaries,yes,Subsidiaries
"On or before the Effective Date, the Company and Executive shall enter into an Indemnification Agreement in the form attached as Exhibit A.",Indemnifications,yes,Indemnity
"The Borrower agrees to pay to the Administrative Agent, for its own account, an agency fee payable in the amount and at the times separately agreed upon between Company and the Administrative Agent.",Fees,yes,Fees
"Landlord shall carry, at Landlord’s expense, first party commercial property insurance on the Leased Property. Tenant is solely responsible for carrying adequate insurance on all Tenant’s personal property including, but not limited to, equipment, furniture, scientific devices, supplies, personal items, or other items installed and belonging to Tenant and located within the Leased Property, in addition to the insurance described in Section 21 of this lease.",Insurances,yes,Insurances
"Owner and Manager may deliver executed signature pages to this Agreement by email to the other Party, which electronic delivery shall be deemed to be an original executed signature page. This Agreement may be executed in counterpart, each of which shall be deemed an original and all of which together shall constitute one agreement with the same effect as if the Parties had signed the same signature page.",Counterparts,yes,Counterparts
"Prior to the Discharge of First-Out Obligations, the First-Out Agent agrees that if it shall at any time hold a First-Out Lien on any Shared Collateral that can be perfected by the possession or control of such Collateral or of any Account in which such Shared Collateral is held, and if such Shared Collateral or any such Account is in fact in the possession or under the control of the First-Out Agent, the First-Out Agent will serve as gratuitous bailee for the Second-Out Agent for the sole purpose of perfecting the Second-Out Lien of the Second-Out Agent on such Shared Collateral. It is agreed that the obligations of the First-Out Agent and the rights of the Second-Out Agent and the other Second-Out Secured Parties in connection with any such bailment arrangement will be in all respects subject to the provisions of Article II. Notwithstanding anything to the contrary herein, the First-Out Agent will be deemed to make no representation as to the adequacy of the steps taken by it to perfect the Second-Out Lien on any such Shared Collateral and shall have no responsibility, duty, obligation or liability to the Second-Out Agent or any other Second-Out Secured Party or any other Person for such perfection or failure to perfect, it being understood that the sole purpose of this Article is to enable the Second-Out Secured Parties to obtain a perfected Second-Out Lien in such Shared Collateral to the extent, if any, that such perfection results from the possession or control of such Shared Collateral or any such Account by the First-Out Agent. The First-Out Agent acting pursuant to this Section 5.01 shall not have by reason of the First-Out Security Documents, the Second-Out Security Documents, this Agreement or any other document or theory, a fiduciary relationship in respect of any First-Out Secured Party, the Second-Out Agent or any Second-Out Secured Party. Subject to Section 4.03 , from and after the Discharge of First-Out Obligations, the First-Out Agent shall take all such actions in its power as shall reasonably be requested by the Second-Out Agent (at the sole cost and expense of the Grantors) to transfer possession or control of such Shared Collateral or any such Account (in each case to the extent the Second-Out Agent has a Lien on such Shared Collateral or Account after giving effect to any prior or concurrent releases of Liens) to the Second-Out Agent for the benefit of all Second-Out Secured Parties.",General,yes,Bailment
"Regardless of any action the Company, any of its Subsidiaries and/or the Grantee 's employer takes with respect to any or all income tax, social insurance, payroll tax, payment on account or other tax-related items related to the Grantee ’s participation in the Plan and legally applicable to the Grantee (“Tax-Related Items”), the Grantee acknowledges that the ultimate liability for all Tax-Related Items is and remains the Grantee ’s responsibility and may exceed the amount actually withheld by the Company or any of its affiliates.  The Grantee further acknowledges that the Company and/or its Subsidiaries ( i ) make no representations or undertakings regarding the treatment of any Tax-Related Items in connection with any aspect of the Performance Share Units, including, but not limited to, the grant or vesting of the Performance Share Units, the delivery of Shares, the subsequent sale of Shares acquired pursuant to such delivery and the receipt of any dividends and/or dividend equivalents; and ( ii ) do not commit to and are under no obligation to structure the terms of any award to reduce or eliminate the Grantee ’s liability for Tax-Related Items or achieve any particular tax result.  Further, if the Grantee becomes subject to tax in more than one jurisdiction between the Grant Date and the date of any relevant taxable event, the Grantee acknowledges that the Company and/or its Subsidiaries may be required to withhold or account for Tax-Related Items in more than one jurisdiction.",Withholdings,yes,Tax Withholdings
"All of the Subsidiaries are set forth on Schedule A hereto. The Company owns, directly or indirectly, all of the capital stock or other equity interests of each Subsidiary free and clear of any Liens, and all of the issued and outstanding shares of capital stock of each Subsidiary are validly issued and are fully paid, non-assessable and free of preemptive and similar rights to subscribe for or purchase securities.",Subsidiaries,yes,Subsidiaries
"Subject to the terms of the Plan and this Agreement, the Award shall be deemed vested and earned, and the Shares subject to the Award shall be distributable as provided in Section 7 herein, upon such date or dates, and subject to such conditions, as are described in this Agreement, including Section 2 of Schedule A. Without limiting the effect of the foregoing, the Shares subject to the Award may vest in installments over a period of time, if so provided in Schedule A. The Participant expressly acknowledges that the Award shall vest only upon such terms and conditions as are provided in this Agreement (including but not limited to Schedule A) and otherwise in accordance with the terms of the Plan . Without limiting the effect of the foregoing, the Participant understands and agrees that the Administrator may delay the vesting of the Award (or portion thereof) and the issuance of the underlying Shares in order to comply with Applicable Law or applicable policies of the Company implemented to ensure compliance with such laws (including but not limited to insider trading provisions and the Company's insider trading policy); provided, however, that any such delay in vesting of the Award or issuance of Shares shall not apply to any Shares subject to an effective Rule 10b5-1 trading plan. The Administrator has sole authority to determine whether and to what degree the Award has vested and been earned and is payable and to interpret the terms and conditions of this Agreement and the Plan.",Vesting,yes,Vesting
"The Borrower has heretofore furnished to the Administrative Agent (for delivery to the Lenders) (i) the audited consolidated balance sheets of the Borrower and its Subsidiaries as at December 31, 2015 and December 31, 2016 and the related statements of income, stockholders’ equity and cash flows of the Borrower and its Subsidiaries for the fiscal years ended December 31, 2015 and December 31, 2016 and (ii) the unaudited consolidated balance sheet as of March 31, 2017 and related consolidated statements of income, stockholders’ equity and cash flows of the Borrower and its Subsidiaries for the three months ended March 31, 2017, in each such case have been prepared in accordance with GAAP applied consistently throughout the periods involved except to the extent provided in the notes thereto and subject, in the case of the unaudited financial information, to changes resulting from audit, normal year-end audit adjustments and to the absence of footnotes, and present fairly in all material respects the financial condition and results of operations of the Borrower and its Subsidiaries, as of and on such dates set forth on such financial statements.",Financial Statements,yes,Financial Statements
"An Employee's employment with the Company or an Affiliate or, to the extent determined by the Administrator, any predecessor of any of them.",Employment,yes,Employment
"This Guaranty may be executed by the parties hereto in several counterparts, each of which shall be deemed to be an original and all of which shall constitute together but one and the same agreement. Delivery of an executed counterpart of a signature page to this Guaranty by facsimile shall be effective as delivery of a manually executed counterpart of this Guaranty.",Counterparts,yes,Counterparts
"Neither the execution or delivery by the 12RT Shareholders of this Agreement to which the 12RT Shareholders are a party nor the consummation or performance by the 12RT Shareholders of the transactions contemplated hereby or thereby will, directly or indirectly, (a) contravene, conflict with, or result in a violation of any provision of the organizational documents of the 12RT Shareholders; (b) contravene, conflict with, constitute a default (or an event or condition which, with notice or lapse of time or both, would constitute a default) under, or result in the termination or acceleration of, any agreement or instrument to which any of the 12RT Shareholders are a party or by which the properties or assets of the 12RT Shareholders is bound; or (c) contravene, conflict with, or result in a violation of, any law or order to which any of the 12RT Shareholders, or any of the properties or assets of the 12RT Shareholders, may be subject.",No Conflicts,yes,Representations
"Each Loan Party is Solvent on the Closing Date and will continue to be, Solvent.",Solvency,yes,Solvency
"All questions concerning the construction, validity, enforcement and interpretation of this Note shall be governed by and construed and enforced in accordance with the internal laws of the State of New York, without regard to the principles of conflict of laws thereof.  Each party agrees that all legal proceedings concerning the interpretation, enforcement and defense of the transactions contemplated by any of the Transaction Documents (whether brought against a party hereto or its respective Affiliates, directors, officers, shareholders, employees or agents) shall be commenced in the state and federal courts sitting in the City of New York, Borough of Manhattan (the “ New York Courts ”).  Each party hereto hereby irrevocably submits to the exclusive jurisdiction of the New York Courts for the adjudication of any dispute hereunder or in connection herewith or with any transaction contemplated hereby or discussed herein (including with respect to the enforcement of any of the Transaction Documents), and hereby irrevocably waives, and agrees not to assert in any suit, action or proceeding, any claim that it is not personally subject to the jurisdiction of such New York Courts, or such New York Courts are improper or inconvenient venue for such proceeding.  Each party hereby irrevocably waives personal service of process and consents to process being served in any such suit, action or proceeding by mailing a copy thereof via registered or certified mail or overnight delivery (with evidence of delivery) to such party at the address in effect for notices to it under this Note and agrees that such service shall constitute good and sufficient service of process and notice thereof.  Nothing contained herein shall be deemed to limit in any way any right to serve process in any other manner permitted by applicable law. Each party hereto hereby irrevocably waives, to the fullest extent permitted by applicable law, any and all right to trial by jury in any legal proceeding arising out of or relating to this Note or the transactions contemplated hereby. If any party shall commence an action or proceeding to enforce any provisions of this Note, then the prevailing party in such action or proceeding shall be reimbursed by the other party for its attorneys’ fees and other costs and expenses incurred in the investigation, preparation and prosecution of such action or proceeding.",Governing Laws,yes,Submission To Jurisdiction
"This Agreement constitutes the entire agreement between the Parties with respect to the subject matters of this Agreement and supersedes all prior negotiations and agreements, whether written or oral, including, without limitation, the Amended and Restated Employment, Confidentiality and Noncompete Agreement between the Parties dated March 7, 2016. This Agreement may not be altered or amended except by a written document executed by both Parties. Employee represents and acknowledges that in executing this Agreement, she has not relied upon any representation or statement not set forth herein made by the Company or any of the Releasees or by any of the Releasees’ agents, representatives, or attorneys, with regard to the subject matters, basis or effect of this Agreement, the Company, its business or its stock, or any other matter.",Entire Agreements,yes,Entire Agreements
"The Term and Executive’s employment hereunder may be terminated: (1) by the Company for “Cause” (as defined in Section 5(f) hereof), effective on the date on which a written notice to such effect (a “ Cause Termination Notice ”) is delivered to Executive; (2) by the Company at any time without Cause (which includes an election by the Company not to renew the Term pursuant to Section 2 hereof, the written notice of which shall be deemed a notice of termination without Cause of Executive’s employment hereunder), effective sixty (60) days following the date on which a written notice to such effect is delivered to Executive or, at the election of the Company in its sole discretion, such earlier date as is reasonably designated by the Company, provided that the Company shall continue to pay Executive’s Base Compensation for sixty (60) days following such notice of termination; (3) by Executive for “Good Reason” (as defined in Section 5(f) hereof), effective sixty (60) days following the date on which a written notice to such effect is delivered to the Company; or (4) by Executive at any time, effective sixty (60) days following the date on which a written notice to such effect is delivered to the Company. Upon any termination of Executive’s employment hereunder, Executive shall be entitled to receive the following: (i) any accrued but unpaid Base Compensation (to be paid as provided in Section 3(a) hereof); (ii) reimbursement for expenses incurred by Executive prior to the date of termination in accordance with Section 4(c) hereof; (iii) vested benefits, if any, to which Executive may be entitled under the Company’s employee benefit plans as of the date of termination; and (iv) any additional amounts or benefits due under any applicable plan, program, agreement or arrangement of the Company or its Affiliates (such plans, programs, agreements and arrangements, collectively, “ Company Arrangements ” and the amounts and benefits described in clauses (i) through (iv) above, collectively, the “ Accrued Benefits ”). Accrued Benefits under this Section 5 shall in all events be paid in accordance with the Company’s payroll procedures, expense reimbursement procedures or plan terms, as applicable.",Terminations,yes,Terminations
"On the Closing Date, upon the terms and subject to the conditions set forth herein, substantially concurrent with the execution and delivery of this Agreement by the parties hereto, the Company agrees to sell, and the Purchasers, severally and not jointly, agree to purchase, up to an aggregate of $1,500,000 of Shares and Warrants. Each Purchaser’s Subscription Amount as set forth on the signature page hereto executed by such Purchaser shall be made available for “Delivery Versus Payment” settlement with the Company. The Company shall deliver to each Purchaser its respective Shares and a Warrant as determined pursuant to Section 2.2(a), and the Company and each Purchaser shall deliver the other items set forth in Section 2.2 deliverable at the Closing. Upon satisfaction of the covenants and conditions set forth in Sections 2.2 and 2.3, the Closing shall occur at the offices of EGS or such other location as the parties shall mutually agree. Unless otherwise directed by the Placement Agent, settlement of the Shares shall occur via “Delivery Versus Payment” (“ DVP ”) (i.e., on the Closing Date, the Company shall issue the Shares registered in the Purchasers’ names and addresses and released by the Transfer Agent directly to the account(s) at the Placement Agent identified by each Purchaser; upon receipt of such Shares, the Placement Agent shall promptly electronically deliver such Shares to the applicable Purchaser, and payment therefor shall be made by the Placement Agent (or its clearing firm) by wire transfer to the Company).",Closings,yes,Closings
"(a) All amounts to be paid by the Seller or the Servicer to the Administrative Agent, any Purchaser Party, any Affected Person or any Seller Indemnified Party hereunder shall be paid no later than noon (New York City time) on the day when due in same day funds to the account so designated by the Administrative Agent. Unless the Administrative Agent shall have received notice from the Seller prior to the date on which any payment is due to the Administrative Agent for the account of any Purchasers hereunder that the Seller (or the Servicer on its behalf) will not make such payment (including because Collections are not available therefor), the Administrative Agent may assume that the Seller has made or will make such payment on such date in accordance herewith and may (but shall not be obligated to), in reliance upon such assumption, distribute to the Group Agents the amount due. In such event, if the Seller (or the Servicer on its behalf) has not in fact made such payment, then each Group Agent severally agrees to repay to the Administrative Agent forthwith on demand the amount so distributed to such Group Agent, with interest thereon, for each day from and including the date such amount is distributed to it to but excluding the date of payment to the Administrative Agent, at the greater of the Federal Funds Rate and a rate determined by the Administrative Agent in accordance with banking industry rules on interbank compensation.",Payments,yes,Payments
"In addition to the termination payments in Section 7, the Company shall provide severance payments to Executive as provided in this Section 8 and, to the extent applicable, Section 9 below.",Benefits,yes,Severance
"This Agreement shall be binding upon and inure to the benefit of the Parties and their successors and permitted assigns. Neither Party may assign, delegate or otherwise transfer any of its rights or obligations hereunder without the prior written consent of the other Party, except that the Buyer may assign any of its rights or obligations hereunder without such consent to any Affiliate of the Buyer for purpose of having such Affiliate take ownership of all or a portion of the Purchased Units so long as (i) the Buyer remains jointly and severally obligated to satisfy all of the Buyer’s obligations under the terms of this Agreement, and (ii) such assignment is permissible under the terms of the applicable LLC Agreement. No assignment of this Agreement will in any way affect the assigning Party’s obligations or liabilities under this Agreement and any attempted assignment of this Agreement or any rights or obligations hereunder in violation of this Section 7.06 shall be deemed void ab initio . Except as expressly provided for herein, none of the provisions of this Agreement shall be for the benefit of or enforceable by any Person other than the Parties.",Assignments,yes,Assigns
"This Agreement shall be binding upon and inure to the benefit of (a) the heirs, beneficiaries, executors and legal representatives of Executive upon Executive’s death and (b) any successor of the Company.  Any such successor of the Company shall be deemed substituted for the Company under the terms of this Agreement for all purposes.  As used herein, “successor” shall include any person, firm, corporation or other business entity which at any time, whether by purchase, merger or otherwise, directly or indirectly acquires all or substantially all of the assets or business of the Company.  None of the rights of Executive to receive any form of compensation payable pursuant to this Agreement shall be assignable or transferable except through a testamentary disposition or by the laws of descent and distribution upon the death of Executive.  Any attempted assignment, transfer, conveyance or other disposition (other than as aforesaid) of any interest in the rights of Executive to receive any form of compensation hereunder shall be null and void.",Assignments,yes,Binding Effects
"Except as otherwise expressly provided herein, all costs and expenses, including, without limitation, fees and disbursements of counsel, financial advisors and accountants, incurred in connection with this Agreement and the transactions contemplated hereby shall be paid by the party incurring such costs and expenses, whether or not the Closing shall have occurred, provided, however, that the Buyer shall, at the Closing, pay up to $200,000 in the aggregate for all outstanding legal and professional fees due to Seller’s counsel and counsel for Seller’s lead investor incurred after January 1, 2017, as provided on Section 2.03(g) of the Disclosure Schedule.",Expenses,yes,Costs
"In the event that the Closing shall not have occurred with respect to a Buyer on or before five (5) Business Days from the date hereof due to the Company's or such Buyer's failure to satisfy the conditions set forth in Sections 6 and 7 above (and the nonbreaching party's failure to waive such unsatisfied condition(s)), the nonbreaching party shall have the option to terminate this Agreement with respect to such breaching party at the close of business on such date by delivering a written notice to that effect to each other party to this Agreement and without liability of any party to any other party; provided , however , that if this Agreement is terminated pursuant to this Section 8, the Company shall remain obligated to reimburse the Lead Investor or its designee(s), as applicable, for the expenses described in Section 4(f) above.",Terminations,yes,Terminations
"All notices, demands, statements or communications (collectively, "" Notices "") given or required to be given by either party to the other hereunder shall be in writing, shall be (A) delivered by a nationally recognized overnight courier, or (B) delivered personally. Any such Notice shall be delivered (i) to Tenant at the appropriate address set forth in Section 10 of the Summary, or to such other place as Tenant may from time to time designate in a Notice to Landlord; or (ii) to Landlord at the addresses set forth in Section 11 of the Summary, or to such other firm or to such other place as Landlord may from time to time designate in a Notice to Tenant. Any Notice will be deemed given on the date of receipted delivery, of refusal to accept delivery, or when delivery is first attempted but cannot be made due to a change of address for which no Notice was given. If Tenant is notified of the identity and address of Landlord's mortgagee or ground or underlying lessor, Tenant shall give to such mortgagee or ground or underlying lessor written notice of any default by Landlord under the terms of this Lease by registered or certified mail. The party delivering Notice shall use commercially reasonable efforts to provide a courtesy copy of each such Notice to the receiving party via electronic mail.",Notices,yes,Notices
"Each of the Administrative Agent and the Lenders agrees to maintain the confidentiality of the Information (as defined below), except that Information may be disclosed (a) to its Affiliates and to its Related Parties (it being understood that the Persons to whom such disclosure is made will be informed of the confidential nature of such Information and instructed to keep such Information confidential); (b) to the extent required or requested by any regulatory authority purporting to have jurisdiction over such Person or its Related Parties (including any self-regulatory authority, such as the National Association of Insurance Commissioners); (c) to the extent required by applicable Requirements of Law or by any subpoena or similar legal process; (d) to any other party hereto; (e) in connection with the exercise of any remedies hereunder or under any other Credit Document or any Rate Management Agreement or any Cash Management Agreement or any action or proceeding relating to this Agreement or any other Credit Document or any Rate Management Agreement or any Cash Management Agreement or the enforcement of rights hereunder or thereunder; (f) subject to an agreement containing provisions substantially the same as those of this Section 10.11 , to (i) any assignee of or Participant in, or any prospective assignee of or Participant in, any of its rights and obligations under this Agreement or (ii) any actual or prospective party (or its Related Parties) to any swap, derivative or other transaction under which payments are to be made by reference to the Borrower and its obligations, this Agreement or payments hereunder, (g) on a confidential basis, to (i) any rating agency in connection with the Borrower or its Subsidiaries or the facilities created hereunder or (ii) the CUSIP Service Bureau or any similar agency in connection with the issuance monitoring of CUSIP numbers with respect to the facilities created hereunder; (i) with the consent of the Borrower; or (j) to the extent such Information (x) becomes publicly available other than as a result of a breach of this Section 10.11 or (y) becomes available to the Administrative Agent, any Lender or any of their respective Affiliates on a nonconfidential basis from a source other than the Borrower.",Confidentiality,yes,Confidentiality
