description,label,llm_labeled_successfully,llm_label,llm_confidence
"Certainly not horrible, but definitely not good.<br /><br />Cry, The Beloved Country (1995) was directed by Darrell Roodt and written for the screen by Ronald Harwood (Adapted from the 1946 novel by Alan Paton). Starring James Earl Jones and Richard Harris.<br /><br />The film is about pre-Apartheid South Africa, and the stories of a black man and a white man intertwining. The pious but naive preacher Stephen Kumalo (James Earl Jones) receives a letter from Johannesburg saying that he must come immediately; he later finds that his son has killed a man. The rich farmer/landowner James Jarvis (Richard Harris) finds that his son, a fighter for black rights, was the one killed by Kumalo's son. In this they connect.<br /><br />I cannot compare it to the 1951 film of the same name, for I have not seen it. Or the 1974 musical titled Lost in the Stars for I have also not seen it; both look better than this one. But Cry Freedom, on the other hand, I have seen; it has a much more urgent air to it, like it actually is trying to say something where the film Cry, The Beloved Country seems to have no idea where it is going. Very ""Wishy-washy"". I refuse to compare the film to the novel (except that I did enjoy the novel more than I enjoyed the film) because novels and films are two extremely different media and there is no point in trying to transfer directly one to the other or compare them via the same means.<br /><br />Frankly, this movie blew. Well, I guess it wasn't that bad, --Five-out-of-ten, -- but it wasn't that good either. Both of the leads, both very capable actors pull some of the most wooden performances I have seen with some of the most awkward dialogue in film history (but that can be blamed on he screenwriter, Ronald Harwood, who is also oddly off is game with this film, having also written the sublime The Pianist, and Being Julia). Among other things the point and themes of the novel are lost almost entirely in its transition to film for the third time; there is little, if any, tension with any moment of the film, racially or suspensefully. The music doesn't help. The painfully misplaced and boringly pastoral orchestra tracks really help with this dulling down of the film. One upside is the cinematography, with many rather good or great shots, but unfortunately, this does not help the film too much.<br /><br />The last, striking words of Alan Paton's novel are displayed in the last moments of the film. It is too bad that they seem to be so disconnected from the film that was just shown. I don't know what Nelson Mandela might have seen in this film.<br /><br />Thanks for your time.",Negative,yes,Negative,0.99983535438851
"Contrary to what those who hate Christianity, the 700 Club provides real answers as well as inspiration. It also provides reliable news, logical commentary and a different view than what ABC, CBS, NBC and PBS thinks is best. Unlike other programs, which provide social and faith-related commentary, those who are behind the 700 Club provide help for those in need, such as feeding the hungry with Operation Blessing, providing medical help to those living in poverty-stricken communities and giving hope to those who need hope. It's not at all hateful. If the 700 Club offends you, I suggest reaching for the remote control and turning the channel on your TV set. I do the same thing when I find CNN Headline News or for that matter, programs which I find biased or offensive. What I find offensive is the way that the ABC Family inserts the disclaimer that the views of the 700 Club do not reflect those of ABC Family.",Positive,yes,Positive,0.9998099765032855
"I have to congratulate the genius who approved this one. Edward Furlong, you're not as good as you think mate, you can't grab on every piece of low-cost amateur crap, which sole intention has to be to get some bucks.<br /><br />The filming is bad, and I mean BAD. Anyone with a camera would get the same result, or better.<br /><br />The acting, lets just say: don't go to the supermarket looking for actors. The good ones usually come with a degree or, at least, have some damn experience! The director.. Mr. Jon Keeyes, please find your purpose in life, as a director you simply suck. Your directing is poor, the angles are all messed up (not in a good way), the lines seem as if they're being read out of toilet paper, and the damn music.. it always comes up when it shouldn't and goes out for no apparent reason. And don't go for writer either, by the way. Making movies isn't like serving on a coffeshop, it requires art and skill, things I really doubt you'll ever have.<br /><br />Instead of making a badass shootout movie, you should've shot this one back to oblivion and wait 'till something good came up.. Or just go find a job on a coffeshop. You'll have less stress and you'll save movie goers some money and a bad night.<br /><br />vote: 1/10 (my first one)",Negative,yes,Negative,0.9997907158058597
"The Five Deadly Venoms is a great kung-fu action movie wrapped in a whodunnit mystery. There are all the usual telltale signs of a kung-fu flick: great choreography, awful dubbing, different ""styles"" of fighting, and a wide range of greatly exaggerated, often cheesey human emotions. However the plot certainly is better than average. It's interesting and holds your attention throughout the non-fight scenes. Occasionally it's even able to fire up the audience, such as when X character receives horrible injustice.<br /><br />Another thing I love about the Five Deadly Venoms is the beautiful simplicity of the movie's morals and themes. Just about everyone gets what's coming to them. The cowardly, greedy, and corrupt lose out. The bad guys, consumed by selfish greed are ultimately destroyed by their own treachery and backstabbing. The good guys use teamwork, planning, and integrity to overcome the odds and come out on top. <br /><br />Poison Clan rocks!",Positive,yes,Positive,0.9997403395713726
"""The Return of Chandu"" is notable, if one can say that, for the casting of Bela Lugosi as the hero rather than the villain. Why he even gets the girl.<br /><br /> The story as such, involves the Black Magic Cult of Ubasti trying to capture the last Egyptian princess Nadji (the delectable Maria Alba) and use her as a sacrifice as a means of reviving their ancient leader who just happens to look like Nadji. Lugosi as Chandu, who possesses magical powers, tries to thwart the villains.<br /><br /> Director Ray Taylor does his best with limited resources and extensive stock footage. Fans of King Kong (1933) will recognize the giant doors that were used to keep Kong at bay in several scenes. The acting is for the most part, awful. The actor who plays the high priest (I believe Lucien Prival) for example, uses that acting coach inspired pronunciation that was so common in the early talkies. The less said about the others the better.<br /><br /> It is a mystery why Lugosi accepted parts in independent quickies at this stage of his career, because he was still a bankable star at Universal at this time. Maybe it was because in this case he got to play the hero and get the girl, who knows. As his career started to spiral downwards in the late 30s, this kind of fare would become the norm for Lugosi rather than the exception.<br /><br />",Negative,yes,Positive,0.9971274688408591
"What of Domino did I hate over everything, and I mean everything, else? Perhaps it was the overall glorification of being a bounty hunter; maybe it was the sexism masquerading as an involving and interesting study of a hard bodied female lead character; maybe it was the mere look of the film with its bizarre yellow glow and distorted blue tints or the manner in which it takes an actress like Lucy Lui; who deserves a lot better than this junk; and has her sit there in the one spot in the room the light cannot directly hit with the same dumb look on her face. Maybe it's the editing; that horrid rapid fire editing and the manner in which lines of dialogue echo as they're uttered by people like Kiera Knightly who, if you buy as a bounty hunter, then you'll probably be able to kid yourself into believing the world will end in 2012.<br /><br />Nobody comes away from Domino with any sort credibility, absolutely nobody at all. It is a painful and misguided experience, taking inspiration from things like Natural Born Killers and letting loose ideas to an audience not even there for them. The principal question is: 'Was Domino supposed to be some kind of comedy?' what with its hilariously bad lead uttering certain lines that desperately want us to think she's coming across as 'tough' but really, she resembles more an arrogant fifteen year old girl on her first day at public school, attempting to impress her peers. There are things you genuinely don't know how to react to, whether they're supposed to be funny or not. If it is supposed to be a comedy, that begs the next question: 'Is the life of a bounty hunter really the sort worth exploiting for laughs?' I don't think so.<br /><br />The film opens with the title card 'Based on a true story........sort of.' If that's supposed to be some sort of post-modernist technique that enables director Tony Scott to bend and manipulate the story of Domino Harvey for his own unique purpose, then you're simply on another planet. Truth is, in that one opening quote the film identifies the subject matter and the original text before completely copping out and saying 'sort of' which I guess is supposed to enable them to make Domino older than she should be and appear on Jerry Springer. Following this, we learn of Domino's relationship with her father who died in the film when when she was ten or something; here is the first use of the 'sort of' cop out as in real life she was just four. But if the film had gone by reality's dates then her entire drive would've been born out of the death of........her goldfish.<br /><br />We are then thrust into action with Ed Mosbey (Rourke); Domino (Knightley) herself and would-be love interest Choco (Ramírez). During the scene, an American mother is pinned down via gunfire in her own caravan in the back end of nowhere as she pleads for her son's life to be spared. What a really misguided opening; presenting its three leads as nasty people who break into trailers, fire off weapons at innocents we don't know anything of and come close to shooting their pet dogs.<br /><br />The immediate feeling is of hatred toward the three leads, a feeling of 'No, why are you doing this? Why is this happening?' Bad seeds are planted and, wouldn't you know it, they stick. The film is painful to watch, excruciating even; as these three mug their way through the piece complete with supporting performances from actors known for playing characters in Beverly Hills 90210. Here is another daft post-modernist slant, people playing themselves and that 'sort of' Joker card being played again. Christopher Walken even pops up in a really stupid role that reeks of Robert Downey Jr's Natural Born Killers character.<br /><br />So as the film plods on and Domino is cast into Ed and Choco's gang, purely for her good looks I might add, it appears amidst the plot to do with fake driver's registration I.Ds or something that Choco and Domino may have feelings for one another. The problem is, as each performer is doing such a bad job in their respective character; there is no chemistry and no feeling between the two; the film isn't a love story so why even bother going down that road in the first place? Does anyone care about these two characters amidst all the fast edits and stuff blowing up? If there is any 'feeling' between Choco and Domino, it exists on such a small, tiny, minimalist scale that you have to ask why it's even included.<br /><br />So then the film feels the need to crank things up narrative-wise. We find out the reason for the fake I.Ds that are linked to someone else and a guy talks on a cell phone in a sound proof bubble. The sound proof bubble I can believe but how does he get his phone under the water and into the bubble in the first place without it becoming flooded? He must've swam really quickly  double the speed of the film's fasted edit which means something in the region of .01 of a second. Yeah, sure. The film's story becomes both too complicated and just plain arbitrary before resorting to a really dumb climax in which more stuff blows up. Plus, there's a really distasteful scene to do with a wall chart full of new ethnicities and the film's comedy runs SO dry, that it has to resort to the ""Jerry, Jerry!"" chant whilst people are on a popular American talk show. When did we last laugh at ""Jerry! Jerry!""? when we were, say, seven years old? I came away feeling sad and depressed at such a film's existence.",Negative,yes,Negative,0.9997790080165931
"it's a very nice movie and i would definitely recommend it to everyone. but there are 2 minus points: - the level of the stories has a large spectrum. some of the scenes are very great and some are just boring. - a lot of stories are not self-contained (if you compare to f.e. coffee and cigarettes, where each story has a point, a message, a punchline or however you wanna call it) but well, most stories are really good, some are great and overall it's one of the best movies this year for sure!<br /><br />annoying, that i have to fill 10 lines at minimum, i haven't got more to say and i don't want to start analyzing the single sequences...<br /><br />well, i think that's it!",Positive,yes,Positive,0.9998431264207236
"POSSIBLE SPOILER - In some way ""How to Alienate Friends...."" is the ""loser learns to adjust, becomes successful and finds out that something else matter more"" type of story, situated in the celebrity business. - END OF SPOILER <br /><br />I don't know the original book but this comedy delivers several good moments. Though I do think the ending is flawed. It felt too fast and too abrupt, as if something was missing. Besides I'd say the movie isn't able to keep a high level. Apart from this you'll find a sweet selection of actors and actresses with sometimes controversial acting qualities. Until now I've never seen Pegg any different. Still he is a very unique type though on the screen he sometimes might seem a little more tedious than necessary. Fox proved she is capable to play a hot starlet with her head in the clouds. Don't know whether it was a hard thing to do, but her performance was hot and way better than during ""Transformers"" (okay... probably that's no tough match). Kirsten Dunst is very much Kirsten Dunst (again) and you may like it (as I do) or find it annoying. On the other hand you'll see Anderson who proved her acting skills and Jeff Bridges (who is fine but perhaps he could have acted a little more powerful). They all fit their character well enough.<br /><br />Conclusion: I think it's a nice celeb comedy with some more and some less funny passages, a sweet cast but an all too sudden ending.",Positive,yes,Positive,0.9998040128384934
"I really wanted to like this movie a lot more than I did. That's because I love wacky foreign comedies--particularly the strange ones that catch you completely by surprise. However, although this one frequently caught me by surprise, these were almost never pleasant surprises. It reminded me of South Park in that nearly EVERY social norm was violated until the only ones left to broach were too sick to be funny. For example, after exploring adultery, drug abuse (of nearly every sort--ranging from pot, heroin, speed to glue sniffing), prostitution, S&M, suicide, murder, etc., the movie got to the hilarious(?) topic of pedophilia. Mom encouraged her one son (who looked about 12 years-old) to sleep with neighboring men. In fact, at one point in the movie she gives this boy to the dentist in lieu of payment for dental work! Funny?! You've got to be kidding. This movie just goes too far and delves into the ""black hole of comedy"". What should they make fun of next, cancer or rectal tumors?",Negative,yes,Negative,0.9998002555374487
"I saw Brother's Shadow at the Tribeca Film Festival and loved it! Judd Hirsch and Scott Cohen are great as father and son. The film follows Scott Cohen from parole in Alaska back to his family in Brooklyn. He shows up there because his brother has died, and he embarks on a journey to slowly repair his estranged relationships with his brother's wife and child and his father who has never forgiven him for being the black sheep of the family. The story takes us deep into the hearts and minds of this family and allows you to more deeply understand the complexity of their lives. Also, the imagery of the woodworking business and the Brooklyn backdrop sets the tone for this rich and revealing family portrait.",Positive,yes,Positive,0.9998215804689247
"Yet another example of what British cinema can achieve: a simple story, told and acted well. Brenda Blethyn gives a layered and warming performance as the recently widowed and financially straitened Grace, ably assisted by a solid supporting cast. The ""quirky small town"" card gets played to the hilt, similar to many TV series and films that have come from the British Isles in recent years (Ballykissangel, Hamish Macbeth and others come to mind). Like the forementioned, this film makes use of some ravishingly beautiful rural scenery, in this case the wet and wild Cornish coast.<br /><br />Some viewers might find wholesale acceptance of cannabis use a bit challenging, others might find the ending just a little too cute and safe. But it's an enjoyable spliff, to be sure.",Positive,yes,Positive,0.9997495162965491
"As someone else mentioned, it begins with a bizarre prologue about a little blond girl killing a cat. Then the main story: a photographer (Gaffari) and a writer (Shepard) meet by chance and take a trip into the mountains. First they spend the night at an inn where the slightly deaf landlord gets hollered at, with increasing irritation to the audience, by Gaffari. Once in the mountains they seek shelter again and are invited in by a kindly old lady who seems overly hospitable to strangers (Hansel and Gretel, anyone?) What happens next I will leave for the bold viewer to sort out because I most assuredly couldn't. Now, I like Eurohorror, and this woulda been better if only Artigot (writer AND director) had made some attempt at logical story telling. The backdrop (Pyrenees?) makes an excellent and intriguing location for mysterious and occult occurrences. The verdant peaks could easily obscure supernatural forces and those who command them. The photography is nice. Just wish the whole thing made sense. You can view this film at archive.org.",Negative,yes,Negative,0.8415622017889354
"Pegg has had a few hits in the past few years, starting with ""Shaun Of The Dead"" in 2004, movie on to ""Hot Fuzz 2007"", early 2008 he came out with ""Run Fat Boy Run"" and now comes this, ""How To Lose Friends And Alienate People"" which is in many ways one of my favourite comedy's of the year.<br /><br />The film is about Sidney Yound, a man who writes a failing magazine who makes fun of celebrity's mostly because he is not one of them. Anyway, one of the most successful magazine owners (Played By Jeff Bridges) invites him (Out of nostalgia) to work at his magazine. Sidney is of course excited and moves to America, there he meets a girl currently writing a book, and hilarity ensues.<br /><br />This film is great and I hope more come out like it in the near future. Pegg has once again given people everywhere another good film and I cant wait to the see the third part of the blood and ice cream trilogy ""Paul"". I Rate this film 81%.",Positive,yes,Positive,0.9998098704570796
"Randolph Scott is leaving the USA for the greener pastures of Canada's British Columbia. He wants to start a cattle ranch there with partner Bill Williams and cook Lee Tung Foo. They stampede their small herd over a toll bridge erected by Victor Jory. Later Jory rustles their cattle and Williams loses his left arm during the fracas.<br /><br />From 1945 until 1962 when he retired, Randolph Scott made a series of good adult themed westerns, some of them considered real classics. Unfortunately the Cariboo Trail will never be listed among his best westerns. <br /><br />It's more like the material that Roy Rogers or Gene Autry might use. The story is downright silly at times. Williams who was along for the ride with Scott, he wanted to go prospect for gold as there was a big strike at the time. He doesn't blame the rustlers, he blames Scott for convincing him to make the trip for the loss of his arm. <br /><br />Also there's a scene in the film when Scott, Lee Tung Foo, and Gabby Hayes are captured by Indians. They escape because Gabby's mule has been taught to kick on command and he kicks away at the Indians allowing our heroes to escape. I'm not sure that would have played in a Rogers film.<br /><br />Furthermore the story actually wants you to believe that tyro prospector Randolph Scott accidentally stumbles on a gold strike after just a few lessons from prospector Gabby Hayes on how to find gold. <br /><br />This was Gabby Hayes's farewell feature film part. It would have been better had he gone out in a good western and in fact he had done a couple of better ones with Randolph Scott before this.<br /><br />I will say this, though no Caribou made any appearance in the film, this is one of the few Canadian locale films from the past that did NOT have any Mounties. <br /><br />But if I were you unless you are a big fan of Randolph Scott or Gabby Hayes, take the next detour off The Cariboo Trail.",Negative,yes,Negative,0.9997708905267848
"This may be the worst show I've ever seen. Aside from the tastelessness of having a sitcom about Hitler, it just isn't funny or entertaining in any way. It is very similar to a 1950's sitcom in its cornball humor and contrived situations, but while it can be well done like in I Love Lucy, it's just not funny here. I think the show was based around the novelty ""look, it's Hitler as a bumbling sitcom figure"" but it just fell flat in every regard. The guy playing Hitler is so hammy that its hard to sit through that alone. I wonder what could have possibly made the network think this was a good idea to air. I thought America had some tasteless show, but the Brits had us beat this time. America would never air a sitcom about Hitler, although we did have that show about Lincoln's slave, The Secret Diary of Desmond Pfeiffer. Chances are you'll probably never see this show, since it only aired one episode and will probably never be released on DVD.",Negative,yes,Negative,0.999837044301889
"A critical and financial flop when first release, the critics have turned around and stated that this film ison of the Director's best. A La Ronde like feel to the film quickly develops as the guys from a detective agency (Ben Gazzara, John Ritter and Blaine Novak) persue, fall in and out of love with some of the most quirky and beautiful women seen on film (Audrey Hepburn, Colleen Camp, Dorothy Stratten and Patti Hansen). Much of the script was ad-libbed or re-written on the day of shooting which gives the film a breezy feel. Ben Gazzara is excellent as the head detective persuing Audrey Hepburn after dropping singer Colleen Camp and seeing cab-driver Patti Hansen on the side. John Ritter ineptly follows Dorothy Stratten and immediately falls in love with her. Blaine Novak has a few girls he is chasing (including Joyce Hyser and Elizabeth Pena). This film has some great performances by a supurb cast. Standouts are Audrey Hepburn (she doesn't have a line in the first half of the film). Ben Gazzara has never been better (and an inspiring choice for a romantic lead) and Colleen Camp has one of her best roles as the manic country singer Christy Miller. She is a delight to watch as she fires off her lines in a rat-a-tat-tat delivery. Highly Recommended! ********* stars!",Positive,yes,Positive,0.9997396198111602
"Sisters in law will be released theatrically on march 24th in Sweden. A good occasion for our Nordic friends to discover this original and thoughtful documentary. It was shown in Göteborg together with a retrospective dedicated to Kim Longinotto, ""director in focus"" of the festival. She gave a master class, very much appreciated, telling about her method as documentary filmmaker and told the audience about the special circumstances which led her to shoot Sisters in law twice : the first version got lost for good, so a second shooting was organized and the film turned out to be different at the end. A pretty awful problem happened, in this case, to create the possibility of a very strong movie.",Positive,yes,Positive,0.9997776616626092
"I must admit that I have been a sucker for Samurai flicks since I can remember. I used to watch rather indiscriminate, be it ""elitist"" works like The Seven Samurai or the bloody comic-book variation like Lone Wolf and Cub. I also liked US-/Japanese ""Crossovers"" like The Bushido Blade. And of course everything containing Sonny Chiba and Hiroyuki Sanada. And I've virtually watched every Samurai at least twice. But not Kabuto.<br /><br />In 1993 I first watched Kabuto on video, that even Samurai films can be boring. In the beginning I was looking forward to Mayeda reaching Europe and the confrontations that would come from that but by the time he actually reached Spain, I really didn't care so much for the movie anymore.<br /><br />It wouldn't do the film justice to call it ""bad"". Technically it's a clean entry into the genre. But there is simply never quiet enough. Sho Kosugi has limited skills as both director and actor and has only a fraction of above mentioned Japanese actors charisma. And speaking of Sho Kosugis son Kane, who appears in almost all Sho Kosugi films as Shos son: he has inherited little-to-none of his fathers limited acting skills. Adding to the minus-points is the absence of the blood and gore that until then was a trademark of all Samurai film. This was obviously intended for a younger US- / European audience.<br /><br />Lets just say that it's a so-so film for the average historic-action-adventure fan but a bore for hardened fans of Samurai cinema. Fans who are into the ""Samurai meets ""-genre, should rather go and watch Red Sun (1971), featuring Charles Bronson as cowboy who has to team up with Samurai Toshiro Mifume to retrieve a samurai sword from bad-guy Alan Delon. It pretty much how to do it right and where Kabuto went wrong.<br /><br />So, even though the film is a mere 100 minutes, it seems like a much longer film.<br /><br />The reason I gave this a honourable 4/10 points instead of 3/10: First time I saw this film, I saw it in the German synchronized version. In this version, Kosugi can actually be understood. I must admit that his 'Engrish' is at times funny but gets tiresome after about 30 minutes.",Negative,yes,Negative,0.9631121796852539
"Occasionally one is served a new entrée from foreign films. That is their great attraction. They take from life and serve it up raw. American films, rarely dare to touch the forbidden subjects of society. Too many hang-ups and a morbid fear of financial failure. The Almighty dollar, determines their selections. Something which invites European directors. In addition, audiences world wide remain hungry for ""different"" films, especially those which offer a savory bite out of the wretched, suffering body of humanity. Despite the fear of directors or producers, many audiences yearn for beauty, poetry, and the pristine flavor of life. That is what the film ""To the Left of the Father"" offers to curious audiences. A family locked in the belief that unity of family stems from the unity of it's obedience to tradition. Yet when the patriarch of a family forgets it's members are flesh and blood humans, filled with raging, unbridled dreams and dark passions, then the two are set in motions against itself. Selton Mello plays André a son who seeks to control his inner passions with the stagnant philosophy of his father. Raul Cortez plays his Father. Simone Spoladore is Ana a young woman who seeks to quench a forbidden thirst from the family waters. Leonardo Medeiros is Pedro, the elder brother. The film offers much, but does takes an extremely inordinate amount of time to say it. ***",Negative,yes,Positive,0.9996709771318997
"At first i didn't think that Ben Affleck could really pull off a funny Christmas movie,, boy was i wrong, my daughter invited me to watch this with her and i was not disappointed at all. James Gandolfini was funny,, i really liked Christina Appelagate, and Catherine O' Hara was good too, the storyline is what really sold me,, i mean,, too put up with family,, at the table for people you only hardly see but once or twice a year,, and probably don't get along with anyway,, you really do need as much alcohol as you're system can stand to deal with Christmas,, so i thought that the premise was good there, buying the family with 250000 dollars, was a little on the far fetched side,, but it turned out to work pretty good for me,, cause it was a riot all the way through, it shows the class struggle of the different families. it has lot's of funny moments, including embarrassing stuff on the computer for a teenage boy. all in all i loved this movie and will watch it again next Christmas or sooner if my daughter wants too.",Positive,yes,Positive,0.9998349295486464
"<br /><br />When I first started watching this movie last night on Cinemax, I was shocked that it had been made. Cruel Intentions, in my opinion, was one of the best teen-oriented films made in years. This prequel had certain things incongruent with the original. (Sebastian's father married into wealth, then why does he have a rich Aunt on long island?)<br /><br />Then I found out today that it was not really intended to be a new movie, but rather a television series, Manchester Prep. After hearing that, it made sense to me that it wasn't the same as the movie, just as Buffy the Vampire Slayer is different in TV form. <br /><br />I think that Roger Kumble most likely added the ending that this movie had, AFTER the series wasn't picked up by Fox. It just seems like something that would happen too fast (Sebastian becoming the male version of Katharyn) and I just don't know where they would go with the next episode, since it wouldn't be leading to the 1999 Film (Which the newer ending is directed right towards.)<br /><br />One thing I didn't like was that it suggested Sebastian and his father had married into the wealth, which isn't typically looked good upon in this area of new york, and sine Katharyn's mother was just an adult version of her, it didn't seem like something a woman in her position would do, marry a man not of her social class. <br /><br />As a prequel this is fairly lame. But I would have been interested to see where this had gone as a series.",Negative,yes,Positive,0.9914007454255432
"We viewed the vcr and found it to be fascinating. Not knowing anything about this true story, I thought: ""Oh, no, P.Brosnan as an American Indian ('red' Indian in the film), what a bad choice"" until I discovered the truth about Grey Owl. The film does a good job of demonstrating the dignity of these native peoples and undermining the racist myths about them. And Annie Galipeau, WOW, what a beauty, and very convincing as an Indian woman (I believe she is French-Canadian; she sure reverts to the all-too familiar speech of such). In spite, of Brosnan's detached, grunting style, in the end he comes through convincingly as a passionate, dedicated man. The plot is a little weak in demostrating his conversion from trapper to animal coservationist. Good film, highly recommended.",Positive,yes,Positive,0.9997210389055504
"I'm not ruining anything when I inform you that you get to see a woman have sex with a goat in this movie. If that is your thing, then your movie has arrived.<br /><br />A woman and her husband go to see her estranged sister in the family mansion in the woods. Her sister is a creepy lady to say the least, and she seems to have interests that go beyond family love. On the side a group of unsavory characters show up and begin enacting all kinds of pagan rituals.<br /><br />The plotting is pretty weak and the characters are pretty dumb. The woman sticks around even after her husband starts turning into a jerk and hanging out with the pagans, even continues the have sex with him. On the exploitative side of things, there is much bared flesh and a couple of kinky couplings, but nothing that hasn't been better somewhere else. Oh, and the aforementioned goat-sex scene.<br /><br />Most viewers won't make it to the end. Exploitation fans will ride it out, but will be left wanting more.<br /><br />4/10",Negative,yes,Negative,0.9998207280387055
"They probably should have called this movie The Map because the majority of the whole stupid film is revolved around a map of a cemetery. Not to mention how many of the same boring shots of the map there are. The only thing they show more than the map itself is the little beads of sweat that is constantly building up on the forehead of our main character. This of course was the film makers way of showing us how incredibly tense things are getting up on the Immortal Hills Cemetery. Come on now , couldn't they have shown us just one of the death scenes? We hear a whole lot about how everyone who is listed on the map is dropping like flies but we don't get to see anything. Some how I Bury The Living manged to keep my attention so i was fairly generous with the rating i gave it but i will not recommend this movie to anyone. Unless you have a deep fascination with maps or sweat i recommend renting a better I movie , such as I Spit On Your Grave or I Drink Your Blood.",Negative,yes,Negative,0.9998305849575493
"I have to point out, before you read this review, that in no way, is this a statement against Iranian people ... if you really want to read something into it, than hopefully you see, that I'm against politicians in general ... but if you're looking to be offended ... I can't help you!<br /><br />Not in Iran as this movie is banned there (see IMDb trivia for this movie). Which is a shame, because the movie is great. Would it not be for ""Grbavica"", this movie would have won at the International Film Festival in Berlin.<br /><br />Rightfully so (it was the runner-up, or second place if you will). Why? Because it is a movie about oppression. It's not even that this is a complete women issue. It is about the government trying to keep the people down. An analogy so clear that the government felt the need to ban the movie. But by banning it nothing is resolved and/or can they make this movie disappear! <br /><br />Another reviewer had a great summary line: ""Comedy about a tragedy"", that sums it up pretty well!",Positive,yes,Positive,0.9997504944442229
"This is one of the better comedies that has ever been on television. Season one was hilarious as were most of the following seasons. The only reason that I give this show a 9/10 is because of the unfortunate final season. The only good part of the final season was the finale. My favorite part of this show was the scenes that cut to people's imaginations, often depicting the characters in famous TV shows or movies from the 70's. It is a rare show in that i liked every character (with the exception of the final season...too late to try to develop a new character and fez wasn't nearly as funny). Red's foot in your ass comments never got old, nor did Kelso's stupidity. Bravo to fox for keeping such a good show so long, too long even.",Positive,yes,Positive,0.9998286275728656
"How can you go wrong with the amazing Ramones? What a crime that two of them are already dead. It reminds me of the Dennis Leary joke about great musicians dying in kitchen fires while useless ones live forever. I'm paraphrasing here, but you get the idea.<br /><br />ROCK AND ROLL HIGH SCHOOL tells the story of a group of disenfranchised kids fighting against their oppressive high school's administration. It's extremely silly stuff, but there's an optimism about it that's refreshing (even if they do resort to blowing up the building). Who knew that this would actually become a concern for students around the world? ROCK AND ROLL HIGH SCHOOL is a time capsule of an era when people still believed that music mattered and that it could make a difference to the larger society. It's full of kids who know authority doesn't have the correct answers. Rather, rock and roll is the only thing they can trust.<br /><br />But most important, this is pure exploitation.<br /><br />Take none of it seriously. Just go in and have a good time. If this wasn't what high school life was like in the seventies, then it should have been.",Positive,yes,Positive,0.9997594892169567
"It really is a shame that films like this never snag Best Picture nominations, because this one is simply a winner. This is by far the most consistently hilarious comedy I have ever seen. Its screenplay and design are impeccable, not to mention the incredible cast. I can quote this movie for hours on end. Watch it.",Positive,yes,Positive,0.9998714733746545
"I love movies, and I'll watch any movie all the way through, just to give it a chance. I can finally say that I found a movie I can't watch all the way through. The acting is terribly stale and monotone, the CGI looks like a computer geek did it in his mother's basement with minimal software, and.....the long scenes of just...walking!!!! And this movie is THREE HOURS LONG!!! I didn't even make it 15 minutes until I fast forwarded the DVD. The scenes with the aliens are very short. Ummm, instead of naming this ""War of the Worlds"", lets name this ""War of the Walking Long Distances"". This cost 5 million dollars to make! What they spend the money on, the dramatic opening song?<br /><br />Oh, but on a positive note, one scene you need to watch is when the aliens first begin killing people. That's hilarious, not because people are dying, but because when they turn to skeletons, they still squirm for 20 seconds afterward.<br /><br />So....like I said, if you are a fan of boring, stale, action-less movies, here is one for you DVD collection. But I didn't write this for you, I wrote this for the billions upon billions of other people who will HATE this movie. It is not worth your time or money<br /><br />I know this is by the book, but the book isn't that long, and I'm a complete book worm/nerd/geek/whatever, but why? Just get the Steven Spielberg version, it's not all that good, but it's 10 times better than this!! <br /><br />I give this a BIG, FAT ZERO out of 10.",Negative,yes,Negative,0.9997918278705586
"My first attempt at watching this ended in 8 minutes, roughly after the TV report scene, which I couldn't handle. It went approximately like this:<br /><br />Reporter 1: Hmm, there's a pyramid in our skies. Reporter 2: I think it's aliens. *awkward silence* Reporter 1: In other news...<br /><br />A few days later I watched it to the end, and it wasn't as horrible as I've imagined, but there are serious problems with this. About half of the plot can be easily discarded. And the other half should be expanded to explain the background story or something.<br /><br />What use are the detective, the eugenics people, and the monsters which are disposed of momentarily by Horus? More amusing was the monopoly scene. ""We're all powerful ""Gods"", who have lived for aeons, and of all the games in the multiverse we happen to play monopoly."" Monopoly? Monopoly?! Even Erich von Dainiken looks coherent, compared to that.<br /><br />The other half is terribly lacking. What did our protagonist do to get himself cryo-frozen? Why was there no big event when he was released at the end? He had those pesky followers, remember? What happened to normal humans? What's the deal with the masked guy? How did the blue-haired girl appear? What's with her eyesight? Etcetera, etcetera.<br /><br />Visually it's OK, more or less, if you disregard the Egyptian Gods looking like walking turds with rotweiller heads.",Negative,yes,Negative,0.9997550151512901
