question,context,answer,options
Can patient coaching reduce racial/ethnic disparities in cancer pain control?,"Minority patients with cancer experience worse control of their pain than do their white counterparts. This disparity may, in part, reflect more miscommunication between minority patients and their physicians. Therefore, we examined whether patient coaching could reduce disparities in pain control in a secondary analysis of a randomized controlled trial.
Sixty-seven English-speaking adult cancer outpatients, including 15 minorities, with moderate pain over the prior 2 weeks were randomly assigned to the experimental (N = 34) or control group (N = 33). Experimental patients received a 20-minute individualized education and coaching session to increase knowledge of pain self-management, to redress personal misconceptions about pain treatment, and to rehearse an individually scripted patient-physician dialog about pain control. The control group received standardized information on controlling pain. Data on average pain (0-10 scale) were collected at enrollment and 2-week follow-up.
At enrollment, minority patients had significantly more pain than their white counterparts (6.0 vs 5.0, P = 0.05). At follow-up, minorities in the control group continued to have more pain (6.4 vs 4.7, P = 0.01), whereas in the experimental group, disparities were eliminated (4.0 vs 4.3, P = 0.71). The effect of the intervention on reducing disparities was significant (P = 0.04).",yes,['yes' 'no' 'maybe']
Is there a role for endothelin-1 in the hemodynamic changes during hemodialysis?,"The etiology of hemodialysis (HD)-induced hypotension and hypertension remains speculative. There is mounting evidence that endothelin-1 (ET-1) may play a vital role in these hemodynamic changes. We examined the possible role of intradialytic changes of ET-1 in the pathogenesis of hypotension and rebound hypertension during HD.
The present study included 45 patients with end-stage renal disease (ESRD) on regular HD. They were divided according to their hemodynamic status during HD into three groups (group I had stable intradialytic hemodynamics, group II had dialysis-induced hypotension, and group III had rebound hypertension during HD). In addition, 15 healthy volunteers were included as a control group. Pulse and blood pressure were monitored before, during (every half hour), and after HD session. ET-1 level was measured at the beginning, middle, and end of HD. ET-1 was measured in the control group for comparison.
Pre-dialysis levels of ET-1 were significantly higher in dialysis patients compared to the controls (P<0.001); however, they were comparable in the three HD groups. The post-dialysis ET-1 level was not changed significantly in group I compared with predialysis values (14.49 +/- 2.04 vs. 14.33 +/- 2.23 pg/ml; P = NS), while the ET-1 concentration decreased significantly in group II and increased in group III in comparison to predialysis values (8.56 +/- 1.44 vs. 11.75 +/- 2.51; 16.39 +/- 3.12 vs. 11.93 +/- 2.11 pg/ml, respectively; P<0.001).",maybe,['yes' 'no' 'maybe']
Does intra-abdominal desmoid disease affect patients with an ileal pouch differently than those with an ileorectal anastomosis?,"Nobody has analyzed the sequelae of desmoids according to the type of surgery that precipitated them.
This study aims to determine whether the clinical effects of abdominal desmoids would be worse in patients with restorative proctocolectomy than in patients with ileorectal anastomosis.
This is a retrospective, database study.
Included were patients with familial adenomatous polyposis who had undergone proctocolectomy with IPAA or colectomy and ileorectal anastomosis, and subsequently developed an intra-abdominal desmoid tumor.
The primary outcome measures were the clinical course of the desmoids; morbidity, and the requirement for stoma.
There were 86 patients: 49 had restorative proctocolectomy and 37 had ileorectal anastomosis. Patient demographics were similar. Average follow-up was 9.8 years (range, 2.7-23.8) and 16.3 years (range, 2.3 - 42.9). Treatment of the desmoids included surgery (64.4% vs 65.6%), medical therapy (69.4% vs 59.5%), chemotherapy (36.2% vs 30.0%), and radiotherapy (4.5% vs 10.0%), and was the same for each group. The overall complication rate of desmoids was similar, approaching 70%. The risk of individual complications was also similar (bleeding (2.0% vs 0.0%), fistula (10.2% vs 13.5%), bowel obstruction (32.7% vs 48.6%), pain (34.7% vs 21.6%), and death related to desmoid tumors (2.0% vs 10.8%)); 38.8% of the restorative proctocolectomy group and 51.4% the ileorectal group had surgery for desmoid tumor complications (P = .21), and 22.4% and 22.2% of patients ultimately had permanent stomas.
This study was limited by the relatively small numbers of patients.",no,['yes' 'no' 'maybe']
Is there a relationship between rheumatoid arthritis and periodontal disease?,"1,412 individuals attending the University of Queensland's School of Dentistry were assessed for the prevalence of periodontal disease and rheumatoid arthritis. Analysis of data obtained from a self-reported health questionnaire and dental records was carried out and included: number of individuals referred for advanced periodontal care (test group); number of individuals attending for routine dentistry; determination of rheumatoid arthritis, cardiovascular disease and diabetes mellitus through self-reporting and assessment of prescription medications; assessment of periodontal disease through assessment of existing oral radiographs.
In patients referred for periodontal treatment, the prevalence of self-reported rheumatoid arthritis was 3.95% which is significantly higher than that seen in patients not referred for periodontal treatment (0.66%) and also that reported in the general population (1%). Of those referred patients with rheumatoid arthritis, 62.5% had advanced forms of periodontal disease. These results were mirrored in the results of the self-reported prevalence of cardiovascular disease and diabetes mellitus which was consistent with the published higher prevalence in periodontal patients.",yes,['yes' 'no' 'maybe']
Are there risk factors that increase the rate of staple line leakage in patients undergoing primary sleeve gastrectomy for morbid obesity?,"Laparoscopic sleeve gastrectomy (LSG) is currently being performed with increasing frequency worldwide. It offers an excellent weight loss and resolution of comorbidities in the short term with a very low incidence of complications. However, the ever present risk of a staple line leak is still a major concern.
Since 2005, data from obese patients that undergo bariatric procedures in Germany are prospectively registered in an online database and analyzed at the Institute of Quality Assurance in Surgical Medicine. For the current analysis, all patients that had undergone primary sleeve gastrectomy for morbid obesity within a 7-year period were considered.
Using the GBSR, data from 5.400 LSGs were considered for analysis. Staple line leak rate decreased during the study period from 6.5 to 1.4 %. Male gender, higher BMI, concomitant sleep apnea, conversion to laparotomy, longer operation time, use of both buttresses and oversewing, and the occurrence of intraoperative complications were associated with a significantly higher leakage rate. On multivariate analysis, operation time and year of procedure only had a significant impact on staple line leak rate.",yes,['yes' 'no' 'maybe']
Should prostate specific antigen be adjusted for body mass index?,"Obesity may be associated with lower prostate specific antigen through hemodilution. We examined the relationship between body mass index and prostate specific antigen by age in men without prostate cancer in a longitudinal aging study to determine whether prostate specific antigen must be adjusted for body mass index.
The study population included 994 men (4,937 observations) without prostate cancer in the Baltimore Longitudinal Study of Aging. Mixed effects models were used to examine the relationship between prostate specific antigen and body mass index in kg/m(2) by age. Separate models were explored in men with prostate cancer censored at diagnosis, for percent body fat measurements, for weight changes with time and adjusting for initial prostate size in 483 men (2,523 observations) with pelvic magnetic resonance imaging measurements.
In men without prostate cancer body mass index was not significantly associated with prostate specific antigen after adjusting for age (p = 0.06). A 10-point body mass index increase was associated with a prostate specific antigen difference of -0.03 ng/ml (95% CI -0.40-0.49). Results were similar when men with prostate cancer were included, when percent body fat was substituted for body mass index, and after adjusting for prostate volume. Longitudinal weight changes also had no significant association with prostate specific antigen.",no,['yes' 'no' 'maybe']
Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,"To determine whether the host immune response to gonorrhoea provides limited serovar specific protection from reinfection.
508 episodes of gonorrhoea diagnosed at a city centre genitourinary medicine clinic including 22 patients with multiple infections over a 4 year period.
Patients with recurrent gonococcal infection were analysed with respect to the initial and subsequent serovars isolated.
No significant difference was seen in the prevalence of serovars isolated following a repeat infection compared with those without repeat infections. The site of the initial infection did not appear to influence the subsequent serovar isolated.",no,['yes' 'no' 'maybe']
Appendectomy timing: Will delayed surgery increase the complications?,"This study investigated whether the time from emergency room registration to appendectomy (ETA) would affect the incidence of perforation and postoperative complications in patients with acute appendicitis.
Patients who underwent an appendectomy at the Ren-Ai branch of Taipei City Hospital between January 2010 and October 2012 were retrospectively reviewed. Their demographics, white blood cell count, C-reactive protein, body temperature, computed tomography scan usage, operation method, pathology report, postoperative complication, length of hospital stay, and ETA were abstracted. Multivariate analysis was performed to search the predictors, including ETA, of outcomes for the perforation and postoperative complication rates.
A total of 236 patients were included in the study. Perforation occurred in 12.7% (30/236) and postoperative complications developed in 24.1% (57/236) of these patients. There were 121 patients with ETA<8 hours, 88 patients with ETA of 8-24 hours, and 27 patients with ETA>24 hours; patients with ETA>24 hours had significantly longer hospital stay. Univariate analysis showed that perforated patients were significantly older, and had higher C-reactive protein level, longer hospital stay, and higher complication rate. Patients who developed postoperative complications were significantly older, and had higher neutrophil count, less use of computed tomography, and higher open appendectomy rate. After multivariate analysis, age ≥55 years was the only predictor for perforation [odds ratio (OR) = 3.65; 95% confidence interval (CI), 1.54-8.68]; for postoperative complications, age ≥55 years (OR = 1.65; 95% CI, 1.84-3.25), perforated appendicitis (OR = 3.17; 95% CI, 1.28-7.85), and open appendectomy (OR = 3.21; 95% CI, 1.36-7.58) were associated. ETA was not a significant predictor in both analyses.",no,['yes' 'no' 'maybe']
Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,"The solitary kidney (SK) is currently debated in the literature, as living kidney donation is extensively used and the diagnosis of congenital SK is frequent. Tubulointerstitial lesions associated with adaptive phenomena may occur early within the SK.
Analysis of the significance of urinary biomarkers in the assessment of tubulointerstitial lesions of the SK.
A cross-sectional study of 37 patients with SK included 18 patients-acquired SK (mean age 56.44 ± 12.20 years, interval from nephrectomy 10.94 ± 9.37 years), 19 patients-congenital SK (mean age 41.52 ± 10.54 years). Urinary NAG, urinary alpha-1-microglobulin, albuminuria, eGFR (CKD-EPI equation) were measured.
In acquired SK, NAG increased in 60.66%, urinary alpha 1-microglobulin in 16.66%, albuminuria in 55.55% of patients. Inverse correlation with eGFR presented NAG (R(2 )= 0.537, p = 0.022), urinary alpha 1-microglobulin (R(2 )= 0.702, p = 0.001), albuminuria (R(2 )= 0.655, p = 0.003). In congenital SK, NAG increased in 52.63%, urinary alpha 1-microglobulin in 5.26%, albuminuria in 47.36% of patients. In this group, urinary biomarkers correlated inversely with eGFR: NAG (R(2 )= 0.743, p < 0.001), urinary alpha 1-microglobulin (R(2 )= 0.701, p = 0.001), albuminuria (R(2 )= 0.821, p < 0.001). Significant correlations were found between the urinary biomarkers in both groups.",yes,['yes' 'no' 'maybe']
Does insulin resistance drive the association between hyperglycemia and cardiovascular risk?,"Several studies have shown associations between hyperglycemia and risk of cardiovascular disease (CVD) and mortality, yet glucose-lowering treatment does little to mitigate this risk. We examined whether associations between hyperglycemia and CVD risk were explained by underlying insulin resistance.
In 60 middle-aged individuals without diabetes we studied the associations of fasting plasma glucose, 2-hour post oral glucose tolerance test plasma glucose, insulin sensitivity as well as body fat percentage with CVD risk. Insulin sensitivity was measured as the glucose infusion rate during a euglycemic hyperinsulinemic clamp, body fat percentage was measured by dual X-ray absorptiometry, and CVD risk was estimated using the Framingham risk score. Associations of fasting plasma glucose, 2-hour plasma glucose, insulin sensitivity and body fat percentage with the Framingham risk score were assessed in linear regression models.
Both fasting and 2-hour plasma glucose levels were associated with higher Framingham risk score (fasting glucose: r(2) = 0.21; 2-hour glucose: r(2) = 0.24; P<0.001 for both), and insulin sensitivity with lower Framingham risk score (r(2) = 0.36; P<0.001). However, adjustment for insulin sensitivity and 2-hour glucose made the effect of fasting glucose non-significant (P = 0.060). Likewise, when adjusting for insulin sensitivity and fasting glucose, the association between 2-hour glucose and Framingham risk score disappeared (P = 0.143). In contrast, insulin sensitivity was still associated with Framingham risk score after adjusting for glucose levels (P<0.001). Body fat was not associated with Framingham risk score when taking insulin sensitivity into account (P = 0.550).",yes,['yes' 'no' 'maybe']
Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,"Tinnitus can be related to many different aetiologies such as hearing loss or a noise trauma, but it can also be related to the somatosensory system of the cervical spine, called cervicogenic somatic tinnitus (CST). Case studies suggest a positive effect of cervical spine treatment on tinnitus complaints in patients with CST, but no experimental studies are available.
To investigate the effect of a multimodal cervical physical therapy treatment on tinnitus complaints in patients with CST.
Randomized controlled trial.
Patients with a combination of severe subjective tinnitus (Tinnitus Functional Index (TFI): 25-90 points) and neck complaints (Neck Bournemouth Questionnaire (NBQ) > 14 points).
All patients received cervical physical therapy for 6 weeks (12 sessions). Patients were randomized in an immediate-start therapy group (n = 19) and a 6-week delayed-start therapy group (n = 19).
TFI and NBQ-scores were documented at baseline, after the wait-and-see period in the delayed-start group, after treatment and after 6 weeks follow-up. The Global Perceived Effect (GPE) was documented at all measuring moments, except at baseline.
In all patients (n = 38) TFI and NBQ-scores decreased significantly after treatment (p = 0.04 and p < 0.001). NBQ-scores remained significantly lower after follow-up (p = 0.001). Immediately after treatment, 53% (n = 38) experienced substantial improvement of tinnitus. This effect was maintained in 24% of patients after follow-up at six weeks.",yes,['yes' 'no' 'maybe']
Clinical identifiers for early-stage primary/idiopathic adhesive capsulitis: are we seeing the real picture?,"Adhesive capsulitis is often difficult to diagnose in its early stage and to differentiate from other common shoulder disorders.
The aim of this study was to validate any or all of the 8 clinical identifiers of early-stage primary/idiopathic adhesive capsulitis established in an earlier Delphi study.
This was a cross-sectional study.
Sixty-four patients diagnosed with early-stage adhesive capsulitis by a physical therapist or medical practitioner were included in the study. Eight active and 8 passive shoulder movements and visual analog scale pain scores for each movement were recorded prior to and immediately following an intra-articular injection of corticosteroid and local anesthetic. Using the local anesthetic as the reference standard, pain relief of ≥70% for passive external rotation was deemed a positive anesthetic response (PAR).
Sixteen participants (25%) demonstrated a PAR. Univariate logistic regression identified that of the proposed identifiers, global loss of passive range of movement (odds ratio [OR]=0.26, P=.03), pain at the end of range of all measured active movements (OR=0.06, P=.02), and global loss of passive glenohumeral movements (OR=0.23, P=.02) were associated with a PAR. Following stepwise removal of the variables, pain at the end of range of all measured active movements remained the only identifier but was associated with reduced odds of a PAR.
The lack of a recognized reference standard for diagnosing early-stage adhesive capsulitis remains problematic in all related research.",no,['yes' 'no' 'maybe']
Does route of delivery affect maternal and perinatal outcome in women with eclampsia?,"The route of delivery in eclampsia is controversial. We hypothesized that adverse maternal and perinatal outcomes may not be improved by early cesarean delivery.
This was a randomized controlled exploratory trial carried out in a rural teaching institution. In all, 200 eclampsia cases, carrying ≥34 weeks, were allocated to either cesarean or vaginal delivery. Composite maternal and perinatal event rates (death and severe morbidity) were compared by intention-to-treat principle.
Groups were comparable at baseline with respect to age and key clinical parameters. Maternal event rate was similar: 10.89% in the cesarean arm vs 7.07% for vaginal delivery (relative risk, 1.54; 95% confidence interval, 0.62-3.81). Although the neonatal event rate was less in cesarean delivery-9.90% vs 19.19% (relative risk, 0.52; 95% confidence interval, 0.25-1.05)-the difference was not significant statistically.",no,['yes' 'no' 'maybe']
Do viral infections have a role in benign paroxysmal positional vertigo?,"To investigate the role of viral infection in benign paroxysmal positional vertigo (BPPV).
In this retrospective study, 483 patients with BPPV were included in the study group. The control group consisted of 461 healthy subjects. In both groups, serologic analysis of viral agents (HSV1, HSV2, Herpes zoster, EBV, CMV, adenovirus, influenza, and parainfluenza virus) was performed.
With the exception of influenza and parainfluenza, all viral serology values were higher in the BBPV group than the control group. We also observed seasonal variation. The BPPV group exhibited elevated values for HSV1 and adenovirus in March and May, for Herpes zoster, adenovirus, and influenza in April, for HSV1 in June, and for HSV1 and CMV in September, compared to the control group. In October, the BPPV group showed increased values for all of the viruses studied, compared to the control group.",yes,['yes' 'no' 'maybe']
Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,"To analyze the reliability of micro-computed tomography (micro-CT) to assess bone density and the microstructure of the maxillary bones at the alveolar process in human clinics by direct comparison with conventional stereologic-based histomorphometry.
Analysis of osseous microstructural variables including bone volumetric density (BV/TV) of 39 biopsies from the maxillary alveolar bone was performed by micro-CT. Conventional stereologic-based histomorphometry of 10 bone biopsies was performed by optic microscopy (OM) and low-vacuum surface electronic microscopy (SEM). Percentages of bone between micro-CT and conventional stereologic-based histomorphometry were compared.
Significant positive correlations were observed between BV/TV and the percentage of bone (%Bone) analyzed by SEM (r = 0.933, P < 0.001), by toluidine blue staining OM (r = 0.950, P < 0.001) and by dark field OM (r = 0.667, P = 0.05). The high positive correlation coefficient between BV/TV and trabecular thickness illustrates that a value of BV/TV upper than 50% squares with a bone presenting most of their trabecules thicker than 0.2 mm. The high negative correlation between BV/TV and trabecular separation shows that values of BV/TV upper than 50% squares with a bone presenting most of their trabecules separated less than 0.3 mm each other.",yes,['yes' 'no' 'maybe']
Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,"Cholecystectomy for GB polyps that are larger than 10 mm is generally recommended because of the high probability of neoplasm. In contrast, a follow-up strategy is preferred for GB polyps smaller than 10 mm. However, there are no treatment guidelines for polyps that grow in size during the follow-up period.STUDY: We retrospectively investigated 145 patients with GB polyps who underwent at least 1 ultrasonographic follow-up examination over an interval greater than 6 months, before cholecystectomy at Samsung medical center, South Korea, from 1994 to 2007. The growth rate was determined based on the change in size per time interval between 2 ultrasonographic examinations (mm/mo).
The median age of the patients was 48 years (range: 25 to 75). One hundred twenty-five non-neoplastic polyps and 20 neoplastic polyps were found. Neoplastic polyps were more frequently found in patients older than 60 years, those with hypertension, a polyp size greater than 10 mm, and a rapid growth rate greater than 0.6 mm/mo. On multivariate analysis, however, the growth rate was not related to the neoplastic nature of a polyp, but older age (>60 y) and large size (>10 mm) were significantly associated with neoplastic polyps.",no,['yes' 'no' 'maybe']
Hearing loss: an unknown complication of pre-eclampsia?,"This prospective case-control study consisted of 33 patients with pre-eclampsia and 32 normotensive pregnant patients as controls. All of the subjects underwent otoscopic examinations - pure tone audiometry (0.25-16 kHz) and transient evoked otoacoustic emission (1-4 kHz) tests - during their third trimester of pregnancy.
The mean ages of the patients with pre-eclampsia and the control subjects were 29.6 ± 5.7 and 28.6 ± 5.3 years, respectively. The baseline demographic characteristics, including age, gravidity, parity number, and gestational week, were similar between the two patient groups. Hearing thresholds in the right ear at 1, 4, 8, and 10 kHz and in the left ear at 8 and 10 kHz were significantly higher in the patients with pre-eclampsia compared to the control subjects. The degree of systolic blood pressure measured at the time of diagnosis had a deteriorating effect on hearing at 8, 10, and 12 kHz in the right ear and at 10 kHz in the left ear.",yes,['yes' 'no' 'maybe']
Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,"To determine under what conditions lay people and health professionals find it acceptable for a physician to breach confidentiality to protect the wife of a patient with a sexually transmitted disease (STD).
In a study in France, breaching confidentiality in 48 scenarios were accepted by 144 lay people, 10 psychologists and 7 physicians. The scenarios were all possible combinations of five factors: severity of the disease (severe, lethal); time taken to discuss this with (little time, much time); intent to inform the spouse about the disease (none, one of these days, immediately); intent to adopt protective behaviours (no intent, intent); and decision to consult an expert in STDs (yes, no), 2 x 2 x 3 x 2 x 2. The importance and interactions of each factor were determined, at the group level, by performing analyses of variance and constructing graphs.
The concept of breaching confidentiality to protect a wife from her husband's STD was favoured much more by lay people and psychologists than by physicians (mean ratings 11.76, 9.28 and 2.90, respectively, on a scale of 0-22). The patient's stated intentions to protect his wife and to inform her of the disease had the greatest impact on acceptability. A cluster analysis showed groups of lay participants who found breaching confidentiality ""always acceptable"" (n = 14), ""depending on the many circumstances"" (n = 87), requiring ""consultation with an expert"" (n = 30) and ""never acceptable (n = 13)"".",maybe,['yes' 'no' 'maybe']
Are physician estimates of asthma severity less accurate in black than in white patients?,"Racial differences in asthma care are not fully explained by socioeconomic status, care access, and insurance status. Appropriate care requires accurate physician estimates of severity. It is unknown if accuracy of physician estimates differs between black and white patients, and how this relates to asthma care disparities.
We hypothesized that: 1) physician underestimation of asthma severity is more frequent among black patients; 2) among black patients, physician underestimation of severity is associated with poorer quality asthma care.
We conducted a cross-sectional survey among adult patients with asthma cared for in 15 managed care organizations in the United States. We collected physicians' estimates of their patients' asthma severity. Physicians' estimates of patients' asthma as being less severe than patient-reported symptoms were classified as underestimates of severity.
Frequency of underestimation, asthma care, and communication.
Three thousand four hundred and ninety-four patients participated (13% were black). Blacks were significantly more likely than white patients to have their asthma severity underestimated (OR = 1.39, 95% CI 1.08-1.79). Among black patients, underestimation was associated with less use of daily inhaled corticosteroids (13% vs 20%, p<.05), less physician instruction on management of asthma flare-ups (33% vs 41%, p<.0001), and lower ratings of asthma care (p = .01) and physician communication (p = .04).",yes,['yes' 'no' 'maybe']
Could different follow-up modalities play a role in the diagnosis of asymptomatic endometrial cancer relapses?,"To determine current practice and to assess the value of routine follow-up procedures for endometrial cancer surveillance. To discuss whether such procedures are feasible and effective to identify asymptomatic recurrences and describe the pattern of relapse detected by procedures.
The records of 282 consecutive women with recurrent endometrial cancer treated from 1986 to 2005 were retrospectively collected in 8 Italian institutions. Primary disease, clinical history, and recurrence features and data were analyzed.
Thirty-five (12.4%) of 282 patients had recurrence in vaginal vault, 51 patients (18.0%) had recurrence in central pelvis, 14 patients (4.9%) had recurrence in pelvic wall, and 39 patients (13.8%) had recurrence in lymph nodes. One-hundred twenty-eight patients (45.3%) showed a distant relapse, whereas 15 patients (5.3%) developed both distant relapse and local relapse. The site of relapse influenced survival because the patients with vaginal vault recurrences lived significantly longer than the patients with recurrences in other sites. Eighty (28.4%) of the 282 patients became symptomatic and anticipated the scheduled visit, 37 (13.1 %) of the patients reported their symptoms during the follow-up meeting, and 165 (58.5 %) of the patients were asymptomatic and the diagnostic path was introduced by a planned visit or examination. Among the asymptomatic patients, the first procedure that led to further examinations was clinical visit alone for 60 (36.4%) of 165 patients, imaging for 103 patients (62.4%), and cytologic examination for 2 patients (1.2%). Symptoms at recurrence can predict survival: patients with an asymptomatic recurrence had a median survival time from relapse of 35 months versus 13 months if they had a symptomatic repetition (P = 0.0001).",maybe,['yes' 'no' 'maybe']
Can dogs prime autistic children for therapy?,"Canine-assisted therapy has been receiving growing attention as a means of aiding children with autism spectrum disorder (ASD). Yet, only limited studies have been done and a great deal of literature related to this intervention is anecdotal. The present study aims at providing additional quantitative evidence on the potential of dogs to positively modulate the behavior of children with ASD.SETTINGS/
A 12-year-old boy diagnosed with ASD was exposed, at his usual treatment location (the Portuguese Association for Developmental Disorders and Autism at Vila Nova de Gaia, Portugal), to the following treatment conditions: (1) one-to-one structured activities with a therapist assisted by a certified therapy dog, and (2) one-to-one structured activities with the same therapist alone (as a control). To accurately assess differences in the behavior of the participant between these treatment conditions, the therapist followed a strict research protocol. The behavior of the participant was continuously video-recorded during both treatment conditions for further analysis and comparison. Treatment outcomes: In the presence of the dog, the participant exhibited more frequent and longer durations of positive behaviors (such as smiling and positive physical contacting) as well as less frequent and shorter durations of negative behaviors (such as aggressive manifestations).",yes,['yes' 'no' 'maybe']
Can routine offering of influenza vaccination in office-based settings reduce racial and ethnic disparities in adult influenza vaccination?,"Influenza vaccination remains below the federally targeted levels outlined in Healthy People 2020. Compared to non-Hispanic whites, racial and ethnic minorities are less likely to be vaccinated for influenza, despite being at increased risk for influenza-related complications and death. Also, vaccinated minorities are more likely to receive influenza vaccinations in office-based settings and less likely to use non-medical vaccination locations compared to non-Hispanic white vaccine users.
To assess the number of ""missed opportunities"" for influenza vaccination in office-based settings by race and ethnicity and the magnitude of potential vaccine uptake and reductions in racial and ethnic disparities in influenza vaccination if these ""missed opportunities"" were eliminated.
National cross-sectional Internet survey administered between March 4 and March 14, 2010 in the United States.
Non-Hispanic black, Hispanic and non-Hispanic white adults living in the United States (N = 3,418).
We collected data on influenza vaccination, frequency and timing of healthcare visits, and self-reported compliance with a potential provider recommendation for vaccination during the 2009-2010 influenza season. ""Missed opportunities"" for seasonal influenza vaccination in office-based settings were defined as the number of unvaccinated respondents who reported at least one healthcare visit in the Fall and Winter of 2009-2010 and indicated their willingness to get vaccinated if a healthcare provider strongly recommended it. ""Potential vaccine uptake"" was defined as the sum of actual vaccine uptake and ""missed opportunities.""
The frequency of ""missed opportunities"" for influenza vaccination in office-based settings was significantly higher among racial and ethnic minorities than non-Hispanic whites. Eliminating these ""missed opportunities"" could have cut racial and ethnic disparities in influenza vaccination by roughly one half.",yes,['yes' 'no' 'maybe']
Is intensive monitoring during the first transfusion in pediatric patients necessary?,"Some pediatric patients, typically those that are very young or felt to be especially sick are temporarily admitted to the intensive care unit (ICU) for observation during their first transfusion. If a significant reaction that requires ICU management does not occur, these patients are then transferred to a regular ward where future blood products are administered. The aim of this project was to determine if heightened observation such as temporary ICU admissions for the first transfusion are warranted.
From the blood bank records of a tertiary care pediatric hospital, a list of patients on whom a transfusion reaction was reported between 2007 and 2012, the type of reaction and the patient's transfusion history, were extracted. The hospital location where the transfusion occurred, and whether the patient was evaluated by the ICU team or transferred to the ICU for management of the reaction was determined from the patient's electronic medical record.
There were 174 acute reactions in 150 patients. Of these 150 patients, 13 (8.7%) different patients experienced a reaction during their first transfusion; all 13 patients experienced clinically mild reactions (8 febrile non-hemolytic, 4 mild allergic, and 1 patient who simultaneously had a mild allergic and a febrile non-hemolytic), and none required ICU management. Six severe reactions (6 of 174, 3.4%) involving significant hypotension and/or hypoxia that required acute and intensive management occurred during subsequent (i.e. not the first) transfusion in six patients.",no,['yes' 'no' 'maybe']
Internal derangement of the temporomandibular joint: is there still a place for ultrasound?,"The aim of this study was to assess the diagnostic value of articular sounds, standardized clinical examination, and standardized articular ultrasound in the detection of internal derangements of the temporomandibular joint.
Forty patients and 20 asymptomatic volunteers underwent a standardized interview, physical examination, and static and dynamic articular ultrasound. Sensitivity, specificity, and predictive values were calculated using magnetic resonance as the reference test.
A total of 120 temporomandibular joints were examined. Based on our findings, the presence of articular sounds and physical signs are often insufficient to detect disk displacement. Imaging by static and dynamic high-resolution ultrasound demonstrates considerably lower sensitivity when compared with magnetic resonance. Some of the technical difficulties resulted from a limited access because of the presence of surrounding bone structures.",no,['yes' 'no' 'maybe']
Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?,"Pregnancy induces adaptations in maternal metabolism to meet the increased need for nutrients by the placenta and fetus. Creatine is an important intracellular metabolite obtained from the diet and also synthesised endogenously. Experimental evidence suggests that the fetus relies on a maternal supply of creatine for much of gestation. However, the impact of pregnancy on maternal creatine homeostasis is unclear. We hypothesise that alteration of maternal creatine homeostasis occurs during pregnancy to ensure adequate levels of this essential substrate are available for maternal tissues, the placenta and fetus. This study aimed to describe maternal creatine homeostasis from mid to late gestation in the precocial spiny mouse.
Plasma creatine concentration and urinary excretion were measured from mid to late gestation in pregnant (n = 8) and age-matched virgin female spiny mice (n = 6). At term, body composition and organ weights were assessed and tissue total creatine content determined. mRNA expression of the creatine synthesising enzymes arginine:glycine amidinotransferase (AGAT) and guanidinoacetate methyltransferase (GAMT), and the creatine transporter (CrT1) were assessed by RT-qPCR. Protein expression of AGAT and GAMT was also assessed by western blot analysis.
Plasma creatine and renal creatine excretion decreased significantly from mid to late gestation (P<0.001, P<0.05, respectively). Pregnancy resulted in increased lean tissue (P<0.01), kidney (P<0.01), liver (P<0.01) and heart (P<0.05) mass at term. CrT1 expression was increased in the heart (P<0.05) and skeletal muscle (P<0.05) at term compared to non-pregnant tissues, and creatine content of the heart (P<0.05) and kidney (P<0.001) were also increased at this time. CrT1 mRNA expression was down-regulated in the liver (<0.01) and brain (<0.01) of pregnant spiny mice at term. Renal AGAT mRNA (P<0.01) and protein (P<0.05) expression were both significantly up-regulated at term, with decreased expression of AGAT mRNA (<0.01) and GAMT protein (<0.05) observed in the term pregnant heart. Brain AGAT (<0.01) and GAMT (<0.001) mRNA expression were also decreased at term.",yes,['yes' 'no' 'maybe']
"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?","The ""July effect"" refers to the phenomenon of adverse impacts on patient care arising from the changeover in medical staff that takes place during this month at academic medical centres in North America. There has been some evidence supporting the presence of the July effect, including data from surgical specialties. Uniformity of care, regardless of time of year, is required for patients undergoing major cancer surgery. We therefore sought to perform a population-level assessment for the presence of a July effect in this field.
We used the Nationwide Inpatient Sample to abstract data on patients undergoing 1 of 8 major cancer surgeries at academic medical centres between Jan. 1, 1999, and Dec. 30, 2009. The primary outcomes examined were postoperative complications and in-hospital mortality. Univariate analyses and subsequently multivariate analyses, controlling for patient and hospital characteristics, were performed to identify whether the time of surgery was an independent predictor of outcome after major cancer surgery.
On univariate analysis, the overall postoperative complication rate, as well as genitourinary and hematologic complications specifically, was higher in July than the rest of the year. However, on multivariate analysis, only hematologic complications were significantly higher in July, with no difference in overall postoperative complication rate or in-hospital mortality for all 8 surgeries considered separately or together.",no,['yes' 'no' 'maybe']
