label,entity1,entity2,llm_labeled_successfully,llm_label
duplicate,Title: mukii tip-pu301cb 2-port usb 3.0 expresscard; Category: electronics - general; Brand: mukii; ModelNo: tip-pu301cb; Price: 32.0;,Title: mukii transimp tip-pu301cb usb 3.0 2 port express card adapter; Category: memory card adapters; Brand: mukii; ModelNo: tip-pu301cb; Price: 29.99;,yes,duplicate
not duplicate,Title: corsair hx3x12g1333c9 12 gb xms3 6 x 2 gb pc3-10600 1333mhz 240-pin ddr3 core i7 triple channel memory kit desktop memory module; Category: memory; Brand: corsair; ModelNo: hx3x12g1333c9; Price: 163.82;,Title: corsair xms3 6gb 3 x 2gb 2000mhz pc3-16000 240-pin ddr3 triple channel memory kit for core i7 platforms 6 triple channel kit ddr3 2000 pc3 16000 240-pin ddr3 sdram cmx6gx3m3b2000c9; Category: memory; Brand: corsair; ModelNo: cmx6gx3m3b2000c9; Price: 90.44;,yes,not duplicate
not duplicate,Title: brother tn450 black toner cartridge high yield toner; Category: printers; Brand: brother; ModelNo: tn450; Price: 48.88;,Title: ld compatible high yield black laser toner cartridge for lexmark 12a5845; Category: laser printer toner; Brand: 4inkjets; ModelNo: nan; Price: 74.99;,yes,not duplicate
not duplicate,Title: netgear powerline av 500 adapter; Category: networking; Brand: netgear; ModelNo: xav5001100nas; Price: 79.82;,Title: netgear xe104 85 mbps powerline 4-port ethernet adapter; Category: powerline network adapters; Brand: netgear; ModelNo: xe104na; Price: 69.99;,yes,not duplicate
not duplicate,Title: lexmark t650h11a black high-yield toner print cartridge; Category: printers; Brand: lexmark; ModelNo: t650h11a; Price: 565.2;,Title: compatible dell 1815dn laser printer high yield black toner cartridge; Category: inkjet printer ink; Brand: dell; ModelNo: nan; Price: 26.82;,yes,not duplicate
not duplicate,Title: case logic 16 laptop backpack; Category: electronics - general; Brand: case logic; ModelNo: 154710; Price: 39.99;,Title: case logic dlbp-114 14-inch laptop backpack red; Category: bags cases; Brand: case logic; ModelNo: dlbp-114red; Price: 39.99;,yes,duplicate
not duplicate,Title: ampad envirotec 100 recycled file folders 1 3 cut top tab letter brown 100pk; Category: stationery & office machinery; Brand: nan; ModelNo: 35113; Price: 12.94;,Title: smead 10710 - kraft file folders straight cut reinforced top tab letter brown 100 box; Category: nan; Brand: smead; ModelNo: nan; Price: nan;,yes,not duplicate
not duplicate,Title: da-lite da-plex deluxe rear projection screen - 96 x 96 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27557; Price: 6426.99;,Title: holoscreen rear projection screen - 66 x 101 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 7400.0;,yes,not duplicate
not duplicate,Title: post-it notes original notes canary yellow; Category: stationery & office machinery; Brand: post-it; ModelNo: 635yw; Price: 31.8;,Title: post-it notes original pad 3 inches x 5 inches canary yellow 12 pads per pack; Category: self-stick notes; Brand: post-it; ModelNo: 655; Price: 16.49;,yes,not duplicate
duplicate,Title: 3m laptop lcd privacy computer filter pf14 .0 w; Category: electronics - general; Brand: 3m; ModelNo: pf14 .0 w; Price: 44.57;,Title: 3m privacy filter-3m pf14 .0 w widescreen laptop privacy screen 16 9; Category: screen filters; Brand: 3m; ModelNo: pf14 .0 w; Price: 40.95;,yes,duplicate
not duplicate,Title: roocase multi-angle leather case for lg g-slate 8.9-inch 4g tablet; Category: electronics - general; Brand: roocase; ModelNo: 222052; Price: 35.99;,Title: roocase ultra slim magenta leather case cover with stand for lg g-slate 8.9-inch 4g android tablet wi-fi 4g; Category: cases sleeves; Brand: roocase; ModelNo: nan; Price: 32.93;,yes,duplicate
not duplicate,Title: kodak easyshare m530 red 12mp digital camera w 3x optical zoom 2.7 lcd w 50 bonus prints; Category: digital cameras; Brand: kodak; ModelNo: m530 red; Price: 99.54;,Title: kodak c1530 14 mp digital camera with 3x optical zoom - white; Category: digital cameras; Brand: kodak; ModelNo: c1530 white digital camera; Price: 69.99;,yes,not duplicate
not duplicate,Title: da-lite da-mat deluxe fast fold complete front projection screen - 68 x 68; Category: electronics - general; Brand: da-lite; ModelNo: 88604; Price: 829.99;,Title: da-lite da-plex deluxe rear projection screen - 94 1 2 x 168 hdtv format; Category: projection screens; Brand: da-lite; ModelNo: 27150; Price: 9255.17;,yes,not duplicate
not duplicate,Title: da-lite da-glas standard rear projection screen - 50 x 50 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27628; Price: 1631.99;,Title: da-plex base rear projection screen - 43 1 4 x 57 3 4 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 1669.99;,yes,not duplicate
