description,label,llm_labeled_successfully,llm_label
i put these to one side and focus on the following version of the shameful revelations allegation even in an ideal egalitarian society having to reveal to the state that one is untalented would cause citizens to feel ashamed,sadness,yes,fear
i was feeling so spiteful i brought it up and i saw the hurt in his face,anger,yes,anger
ill take my gfathers ute down to get a load of shit or as some would prefer manure but im feeling hostile so let me have it and will attempt a version of a home made compost,anger,yes,anger
i miss him and its nice to see him it does suck that when i do see him i always feel rushed,anger,yes,sadness
i searched long and hard for a bad review telling me that i shouldnt buy into something i feel so apprehensive about but i only found that people loved and swore by f,fear,yes,surprise
i feel so blessed to be apart of it,love,yes,joy
i love being an author and feel that ultimately that will be my one career but all these other jobs are fabulous experiences that bring a lot to my writing,joy,yes,joy
i know and trust how i feel but i generally shy away from it with strangers,fear,yes,fear
im feeling overwhelmed i can just give people the middle finger or tell them to f off,fear,yes,anger
i feel i am suffering from a bad case of i only want to nap,sadness,yes,sadness
i feel like my good friend narcissism might have something to do with that well that and a spoonful of boredom,joy,yes,surprise
i feel like its my fault for letting the vampire in and constantly running into them trusting them befriending them etc,joy,yes,fear
i truly felt that when i left friday you were smiling and feeling i had respected you and you thinking i was a teasing little heathen you loved who enjoys arousing you with an animal delight,joy,yes,love
i feel that rich people will never understand the cruelty of money,joy,yes,anger
i feel safe and warm and there s lots of sunshine you d think i d get complacent,joy,yes,joy
i feel about the scratches the way i feel about my wrinkles i am fond of them and regard them as evidence of a life well lived,love,yes,love
i sing as one who feels contented with a comfortable life and comfortable christmas that includes general happiness about eternity,joy,yes,joy
i felt off kilter before and since following his prompting and seeking peace i feel resolved,joy,yes,surprise
i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,yes,surprise
i trust that in moments of feeling fine even moments of joy that my grief may sometimes come slam me in the face,joy,yes,surprise
ive been honestly self indulgent and rather reckless with my consumption of caffeine cigarettes and junk food which combined with the dangerous ingredient of freezing weather has caused me to feel lethargic fat and unfit,sadness,yes,sadness
i do not however feel in any way hostile to anyone or capable of violence,anger,yes,surprise
i was okay with it but still little have feeling for that my brother was more amazed he like mihm but he wasn t going to get playing time,surprise,yes,surprise
i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc,anger,yes,sadness
i am looking forward to getting baptized maybe but not until i feel devoted and broken in front of the lord,love,yes,fear
im feeling on the mellow side today,joy,yes,sadness
i want to share about a wonderful organization that i feel extremely passionate about,love,yes,love
i feel like a worthless ugly fat unattractive piece of shit,sadness,yes,sadness
i feel more irritable and i feel more sensible now than ever,anger,yes,anger
i feel so alone i feel like theres very few people who will actually listen to me,sadness,yes,sadness
i feel jealous when i know he go out with other women,anger,yes,anger
i dont even think i would be ready to be fuck buddys because if theres emotions from him i would feel horrible when im not giving them back,sadness,yes,fear
i feel reassured and comforted that i will be seeing my oncologist every three months and my surgeon every six months,joy,yes,relief
i thought i would love wearing s trousers but instead i feel amazing in vintage inspired dresses,joy,yes,joy
i feel so honored to be nominated for this award,joy,yes,joy
i wanted it to feel like all these fabulous people at an incredible party fell asleep and when they woke up the place had been a bit overtaken with lush florals and greenery,joy,yes,surprise
i feel are flawless while they slowly declined in quality after that,joy,yes,sadness
i also tended to either attract drama or not know how to handle it before people got their feelings hurt or not really know how to prevent or deal with conflict in the groups,sadness,yes,fear
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,yes,joy
i still feel a bit stunned and i suppose i should be racked with regret and shame,surprise,yes,surprise
i feel like i can trust them though seeing how they can understand how other women can be bitchy and neither of us want to deal with that shit,anger,yes,fear
i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,fear,yes,surprise
i didnt want to be lazy or feel groggy so i just kept drinking red bull,sadness,yes,surprise
i still feel constantly paranoid and anxious i keep wanting to go on facebook to check he hasn t been back on there i keep wanting to go through the texts on his phone i feel edgy when he s at work and want him to come straight home to me,fear,yes,fear
i feel like this was such a rude comment and im glad that t,anger,yes,anger
i was gay that i began to feel disturbed and embarrassed,sadness,yes,fear
i also feel strongly about supporting the local economy so for the past years i am proud to have driven gm cars in a gm community,joy,yes,pride
i am slowly paying off my debts and i feel generally happy about where i am and what im doing,joy,yes,joy
i feel like im assaulted by constant flakiness,fear,yes,anger
i am overly passionate but i love music for how it makes me feel i connect with the songs and the artists and i am amazed and truly in awe of those that can write a song that touches me,surprise,yes,joy
i feel so unhappy about this,sadness,yes,sadness
i was catapulted back into feeling more terrified of people than i had been in awhile,fear,yes,fear
i could feel the radiant heat of emanating from her naked sex reaching longingly for the probing tip of my hardness,joy,yes,surprise
i am still glad to help when someone asks makes me feel complacent at least i am good at something,joy,yes,joy
i go up to her and i say feeling very impressed with myself youre naomi klein right,surprise,yes,surprise
i just feel like no one cares and no one can be bothered to make the effort and meet up,anger,yes,sadness
ive had my ass handed to me by murt and im starting to feel fucked but just a little,anger,yes,anger
i feel like its an excuse for being boring as an individual or lack of confidence in your individuality,sadness,yes,fear
i can feel but i cant touch you said my love was a bit too much i wont deny it broke my heart cant find no crush so why dont you come on back home,sadness,yes,sadness
i feel lots more energy i feel very impatient and irritable,anger,yes,anger
i feel empty inside like all my light has been drained,sadness,yes,sadness
i feel that our values need to be shifted in the direction of caring for all things on earth for each other and for the planet we live on,love,yes,love
i am feeling positive about it,joy,yes,joy
i love earning money and having it but because i grew up in a lower middle class family i feel very appreciative of the money that i do have,joy,yes,joy
i generally try not to worry about what others think or feel that im putting on a brave face for their benefit,joy,yes,fear
i suggest you give it a listen i feel like i am blessed,love,yes,joy
i no longer feel depressed and am not mad or haven t yet a href http www,sadness,yes,surprise
im feeling very virtuous having just come home from a hour yoga session with my sister whos a yoga teacher,joy,yes,joy
i don t know everyone s political views nor do i ask unless i feel it s important for further discussions or so that i don t offend them,joy,yes,surprise
i start to feel groggy as if i have been drugged,sadness,yes,fear
i think i have a good feel for what players are feeling and i just try to help them to do one thing in life that we all want and thats believe and if you believe strong enough good things can happen washington said,joy,yes,hope
i say a little prayer every time i come close to bread these days the diet works though i feel more productive my body shape has changed and i just feel less sluggish,joy,yes,joy
i feel so passionate about utopia is my desire for peace on this troubled earth,love,yes,love
i feel like if this was a longer book i would have liked it more,love,yes,surprise
i feel angry because instead of asking how am i with my problem he accusing me and i am mad because it finally confirm what kind of person he is,anger,yes,anger
ive been feeling very mellow this evening,joy,yes,joy
i longed for that feeling i once knew the feeling i treasured once and forgot because of pain,love,yes,sadness
i feel the melancholy running my veins as well,sadness,yes,sadness
i hope that by telling them ill find out more about who i am how i got to this place in time and not feel so lost and alone,sadness,yes,fear
ive been feeling really shitty lately,sadness,yes,sadness
i am feeling very apprehensive about the future at the moment,fear,yes,fear
i know how i sound and i feel lousy about myself for sounding that way and for feeling the way i sound but i made a good contribution at work today and now the chip is on my shoulder when i think about the mistreatment that i have received,sadness,yes,anger
i do feel alittle submissive it isnt the same,sadness,yes,fear
i just naturally feel like i m a better player,joy,yes,joy
i dont know how i feel about it at the moment my charming naive style of drawing just looks like i cant draw to me,joy,yes,sadness
i really dont like the whole harvest y time feel im not keen on spending my time in the morning attempting to style my hair only to have it completely ruined within a minute of walking outside into the damp air,joy,yes,frustration
i can t imagine any reader feels lethargic calm and content after reading it,sadness,yes,surprise
i feel like that wall is boring amp needs a pop of color,sadness,yes,surprise
i have these great feelings of fear and trepidation that these children will be abused because i know what the statistics are,sadness,yes,fear
i personally feel you can call a guy slutty and matt,love,yes,anger
i feel like i had this bitchy undertone the whole convo like kinda sarcastic,anger,yes,anger
im slow about this but it does feel weird returning to a home without your mum anymore,fear,yes,sadness
i remember feeling hair and being confused my kids dont have hair at birth but not having the presence of mind to really process what i was feeling,fear,yes,surprise
i mean i already did of course but i feel more glamourous naked now,joy,yes,surprise
i took part in a football match the referee was extremely partial to the opposite team this stirred up my discontent and anger,anger,yes,anger
id recommend using it before washing with a shower gel the oil does leave a residue behind which does feel lovely but its not particularly practical and also has a brownish tint to it,love,yes,surprise
i feel like i need to cry these past few days and it relieved me that i could cry that much of tears today haha,joy,yes,sadness
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear,yes,fear
i can feel this really effecting my attitude toward her i feel bitter and angry,anger,yes,anger
im not sure why but i have been feeling really lethargic lately,sadness,yes,sadness
ive been saying things for a number of days that i feel may be too optimistic,joy,yes,surprise
i do know the next time im having a glass of red wine im tossing a big ol ice cube in it and if im feeling really rebellious i may not even swirl the glass or sniff it and i recommend you try the same thing,anger,yes,surprise
ive never in my life had anyone make me feel as unimportant as insignificant as you did,sadness,yes,anger
i am i cant help but feel skeptical about the whole thing,fear,yes,fear
i feel kind of strange,surprise,yes,surprise
i give probably to the degree that some might see as too much but if i feel taken advantage of or wronged in any sense i have absolutely no problem shutting it down and walking away,anger,yes,surprise
ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,anger,yes,surprise
i feel terrible for him and want to cheer him up,sadness,yes,love
i feel deeply and truly content,joy,yes,joy
i like to look at this ring when im feeling doubtful or down and it reminds me that honestly i dont have any regrets and i know im where im suppose to be,fear,yes,joy
i sit here tonight i feel anxious,fear,yes,fear
i still feel defeated,sadness,yes,sadness
i just feel sooooooooooo fucked up at this moment,anger,yes,anger
i didnt really feel an appetite for noodles i chose a bowl of rice with sweet potatoe tempura amp miso soup was included,joy,yes,surprise
i feel some of my projects are clever and useful enough i figured i would start sharing them on instructables so i wrote my first one this weekend,joy,yes,surprise
i remember feeling amazed,surprise,yes,surprise
i feel low energy i m just thirsty,sadness,yes,sadness
i still miss him and feel rather weepy today,sadness,yes,sadness
im so happy that he loves my husband and feels that he doesnt need to worry about this troubled girl anymore,sadness,yes,joy
i had a good sleep believe it or not but still woke up feeling groggy and out of sorts,sadness,yes,sadness
i can stay awake whole night feeling all energetic and stuff,joy,yes,surprise
i am too dazed confused and too drowned in what women looks for looks wise in a man and feel that i am doomed if i can t aspire to these,sadness,yes,fear
i feel a bit safer now in using the motivator that works and trusting that i will be able to use my other motivators and combat other parts of the ed if i am patient and strong,joy,yes,hope
i feel extremely lucky and blessed to work with such outstanding young ladies,joy,yes,joy
i was feeling very defeated and like i just couldnt continue so i reluctantly asked for an epidural,sadness,yes,fear
i enjoy feeling strong i love having muscles and strength and endurance,joy,yes,joy
i feel that i am not important enough to live not worthy enough to struggle any longer no one will miss me or even care that i have gone,joy,yes,sadness
i feel like im loving them even more now that im working again i appreciate every snuggle and feeding just a little more since i miss so much when im gone,love,yes,love
i feel lethargic and overheated all the time,sadness,yes,sadness
i feel very unfortunate to have only in the last couple days have even discovered that seventy times seven even existed and hearing the twosongs together brought somewhat of a closure to a certain part of my musical life,sadness,yes,surprise
i couldnt help but feel that all these people had missed the best of the day,sadness,yes,sadness
i am trying to work on finding the joy in the simple thing that god is finding joy in my obedience to him even if it doesn t feel very joyful in the way that i am used to,joy,yes,surprise
i feel like i am unhappy missing too much from the baby or anything else i will quit,sadness,yes,sadness
i want their birthmoms to feel confident that they made the right decision,joy,yes,love
i had to sacrifice my comfort so he wont feel unwelcome,sadness,yes,love
im feeling more than a little dazed,surprise,yes,surprise
i been so acquainted with sleep i feel like i should name it to ensure im not being rude or maybe it has a name already,anger,yes,surprise
i am not actively seeking gods heart i feel lethargic directionless and slow when it comes to who i see god as and even more so how i think god sees me,sadness,yes,sadness
i feel we need a little romantic boost in the relationship,love,yes,love
i think i was right to feel insulted,anger,yes,anger
i along happy peaceful feeling fantastic,joy,yes,joy
i feel like when recipes have those kinds of words in the title perfect famous ultimate grand supreme ect,joy,yes,surprise
i feel inspired to get back to my indigo pot,joy,yes,surprise
i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors,joy,yes,joy
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,fear,yes,surprise
i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,anger,yes,anger
