question,answer,options,llm_labeled_successfully,llm_label
"A 63-year-old woman with a past medical history significant for hypertension presents to the outpatient clinic for evaluation of vaginal dryness, loss of libido, and hot flashes. These symptoms have been progressively worsening over the past 3 months. Her vital signs are: blood pressure 131/81 mm Hg, pulse 68/min, and respiratory rate 16/min. She is afebrile. On further review of systems, she endorses having irregular periods for almost a year, and asks if she has begun menopause. Which of the following parameters is required to formally diagnosis menopause in this patient?",Cessation of menses for at least 12 months,"['Cessation of menses for at least 12 months', 'Increased serum follicle-stimulating hormone (FSH)', 'Increased serum luteinizing hormone (LH)', 'Increased total cholesterol', 'Pelvic ultrasound demonstrating decreased follicular activity']",yes,Cessation of menses for at least 12 months
A 68-year-old man is brought to the emergency department by ambulance from a homeless shelter. The report from the shelter describes the man as a loner expressing symptoms of depression. He has been living at the shelter for approximately 10 months and has no family or friends and few visitors. He spends most of his evenings drinking alcohol and being by himself. Which of the following statements is most accurate regarding this patient?,Males are more likely to die from suicide than females.,"['Males are more likely to die from suicide than females.', 'Males attempt suicide more than females.', 'Males are more likely to use drug overdose as a means of suicide.', 'Females are more likely to self-inflict fatal injuries.', 'Suicide risk is highest among middle-age white women.']",yes,Males attempt suicide more than females.
"A 24-year-old woman comes to the physician because of pain and swelling of her left leg over the past 24 hours. The pain is worse while walking and improves when resting. Seven months ago, she was diagnosed with a pulmonary embolism and was started on warfarin. Anticoagulant therapy was discontinued 1 month ago. Her sister has systemic lupus erythematosus. The patient does not smoke. She currently takes no medications. Her temperature is 37.8°C (100°F), pulse is 78/min, and blood pressure is 123/72 mm Hg. On physical examination, the left calf is diffusely erythematous, swollen, and tender. Dorsal flexion of the left foot elicits pain. Cardiopulmonary examination shows no abnormalities. On duplex ultrasonography, the left popliteal vein is not compressible. Laboratory studies show an elevated serum concentration of D-dimer and insensitivity to activated protein C. Further examination is most likely to show which of the following?",Mutation of coagulation factor V,"['Antiphospholipid antibodies', 'Mutation of coagulation factor V', 'Mutation of prothrombin', 'Elevated levels of homocysteine', 'Deficiency of protein C']",yes,Mutation of coagulation factor V
"A 72-year-old man comes to the physician for medical clearance for a molar extraction. He feels well. He reports he is able to climb 3 flights of stairs without experiencing any shortness of breath. He has hypertension, type 2 diabetes mellitus, and ischemic heart disease. He underwent an aortic valve replacement for severe aortic stenosis last year. 12 years ago, he underwent a cardiac angioplasty and had 2 stents placed. Current medications include aspirin, warfarin, lisinopril, metformin, sitagliptin, and simvastatin. His temperature is 37.1°C (98.8°F), pulse is 92/min, and blood pressure is 136/82 mm Hg. A systolic ejection click is heard at the right second intercostal space. Which of the following is the most appropriate next step in management?",Administer oral amoxicillin 1 hour before the procedure,"['Administer oral amoxicillin 1 hour before the procedure', 'Obtain echocardiography prior to procedure', 'Avoid nitrous oxide during the procedure', 'Discontinue aspirin and warfarin 72 hours prior to procedure', 'Administer oral clindamycin 1 hour before and 2 hours after the procedure']",yes,Discontinue aspirin and warfarin 72 hours prior to procedure
"A 56-year-old woman is one week status post abdominal hysterectomy when she develops a fever of 101.4°F (38.6°C). Her past medical history is significant for type II diabetes mellitus and a prior history of alcohol abuse. The operative report and intraoperative cystoscopy indicate that the surgery was uncomplicated. The nurse reports that since the surgery, the patient has also complained of worsening lower abdominal pain. She has given the patient the appropriate pain medications with little improvement. The patient has tolerated an oral diet well and denies nausea, vomiting, or abdominal distension. Her blood pressure is 110/62 mmHg, pulse is 122/min, and respirations are 14/min. Since being given 1000 mL of intravenous fluids yesterday, the patient has excreted 800 mL of urine. On physical exam, she is uncomfortable, shivering, and sweating. The surgical site is intact, but the surrounding skin appears red. No drainage is appreciated. The abdominal examination reveals tenderness to palpation and hypoactive bowel sounds. Labs and a clean catch urine specimen are obtained as shown below:


Leukocyte count and differential:
Leukocyte count: 18,000/mm^3
Segmented neutrophils: 80%
Bands: 10%
Eosinophils: 1%
Basophils: < 1%
Lymphocytes: 5%
Monocytes: 4%
Platelet count: 300,000/mm^3

Hemoglobin: 12.5 g/dL
Hematocrit: 42%

Urine:
Epithelial cells: 15/hpf
Glucose: positive
RBC: 1/hpf
WBC: 2/hpf
Bacteria: 50 cfu/mL
Ketones: none
Nitrites: negative
Leukocyte esterase: negative

Which of the following is most likely the cause of this patient’s symptoms?",Wound infection,"['Alcohol withdrawal', 'Surgical error', 'Post-operative ileus', 'Urinary tract infection', 'Wound infection']",yes,Wound infection
"A 31-year-old woman is brought to the emergency department for a severe throbbing headache, nausea, and photophobia for the past 3 hours. She has severe occipital pain and chest tightness. Prior to the onset of her symptoms, she had attended a networking event where she had red wine and, shortly after, a snack consisting of salami and some dried fruits. The patient has recurrent migraine headaches and depression, for which she takes medication daily. She is mildly distressed, diaphoretic, and her face is flushed. Her temperature is 37.0°C (98.6°F), the pulse is 90/min, the respirations are 20/min, and the blood pressure is 195/130 mm Hg. She is alert and oriented. Deep tendon reflexes are 2+ bilaterally. This patient's symptoms are most likely caused by a side effect of which of the following medications?",Phenelzine,"['Amitriptyline', 'Phenelzine', 'Sertraline', 'Sumatriptan', 'Topiramate']",yes,Sumatriptan
"Sixteen hours after delivery, a newborn develops respiratory distress. She was born at 38 weeks' gestation with a birth weight of 3200 g (7 lb 1 oz). Pregnancy was complicated by polyhydramnios. Physical examination shows tachypnea and bluish discoloration of the extremities. Auscultation of the chest shows diffuse crackles in the lung fields and a harsh holosystolic murmur at the left lower sternal border. Abdominal x-ray shows absence of bowel gas. Which of the following best explains the pathogenesis of this newborn's condition?",Defect in mesodermal differentiation,"['Defect in the pleuroperitoneal membrane', 'Deletion in the long arm of chromosome 7', 'Defect in mesodermal differentiation', 'Absence of dynein', 'Deletion in the long arm of chromosome 22']",yes,Defect in the pleuroperitoneal membrane
"An 11-year-old boy is brought to the clinic by his parents for poor academic performance. The patient’s parents say that his teacher told them that he may have to repeat a grade because of his lack of progress, as he does not pay attention to the lessons, tends to fidget about in his seat, and often blurts out comments when it is someone else’s turn to speak. Furthermore, his after-school karate coach says the patient no longer listens to instructions and has a hard time focusing on the activity at hand. The patient has no significant past medical history and is currently not on any medications. The patient has no known learning disabilities and has been meeting all developmental milestones. The parents are vehemently opposed to using any medication with a potential for addiction. Which of the following medications is the best course of treatment for this patient?",Atomoxetine,"['Diazepam', 'Atomoxetine', 'Methylphenidate', 'Sertraline', 'Olanzapine']",yes,Atomoxetine
"A 40-year-old gravida 4 para 2 woman presents with urinary incontinence requesting definitive treatment. She started experiencing urinary incontinence when coughing, laughing, or exercising about three months ago. Symptoms have not improved with behavioral changes or Kegel exercises. Past medical history is significant for her last pregnancy which was complicated by an arrest of descent and a grade 3 episiotomy. She currently takes no medications. A review of systems is significant for constipation for the last few months. Rectal and vaginal exams are normal. Which of the following is the mechanism that underlies the best course of treatment for this patient?",Anatomic elevation of the urethra,"['Oral estrogen therapy', 'Reduction of detrusor muscle tone', 'Inhibition of DNA gyrase and topoisomerase', 'Dilation of a urethral or ureteral stricture', 'Anatomic elevation of the urethra']",yes,Anatomic elevation of the urethra
"A 27-year-old man is brought to the emergency department because of a knife wound to his back. His pulse is 110/min, respirations are 14/min, and blood pressure is 125/78 mm Hg. Examination shows a 5-cm deep stab wound at the level of T9. He withdraws the right foot to pain but is unable to sense vibration or whether his right toe is flexed or extended. Sensation in the left leg is normal. Motor strength is 5/5 in all extremities. Rectal tone is normal. Which of the following spinal column structures was most likely affected?",Posterior spinal artery,"['Dorsal root', 'Posterior spinal artery', 'Central spinal cord grey matter', 'Lateral corticospinal tract', 'Artery of Adamkiewicz']",yes,Central spinal cord grey matter
"A 20-month-old boy is brought to the emergency department by his parents with fever and diarrhea that have persisted for the past 2 days. He has a history of repeated bouts of diarrhea, upper respiratory tract infections, and failure to thrive. His vital signs are as follows: blood pressure 80/40 mm Hg, pulse 130/min, temperature 39.0°C (102.2°F), and respiratory rate 30/min. Blood tests are suggestive of lymphopenia. The child is diagnosed with severe combined immune deficiency after additional testing. Which of the following is the most common association with this type of immunodeficiency?",X-linked severe combined immunodeficiency,"['X-linked severe combined immunodeficiency', 'Adenosine deaminase deficiency', 'Janus-associated kinase 3 (JAK3) deficiency', 'Reticular dysgenesis', 'Bare lymphocyte syndrome']",yes,X-linked severe combined immunodeficiency
"A 24-year-old woman presents to her gynecologist complaining of mild pelvic discomfort and a frothy, yellowish discharge from her vagina for the past 2 weeks. She also complains of pain during sexual intercourse and sometimes after urination. Her past medical history is noncontributory. She takes oral contraceptives and a multivitamin daily. She has had two male sexual partners in her lifetime and uses condoms inconsistently. Today, her vitals are normal. On pelvic exam, she has vulvovaginal erythema and a 'strawberry cervix' that is tender to motion, with minimal green-yellow malodorous discharge. A swab of the vaginal wall is analyzed for pH at bedside. Vaginal pH is 5.8. Which of the following is the most likely diagnosis for this patient?",Trichomoniasis,"['Vulvovaginal candidiasis', 'Atrophic vaginitis', 'Bacterial vaginosis', 'Chlamydia', 'Trichomoniasis']",yes,Bacterial vaginosis
"A 37-year-old woman, gravida 3, para 2, at 32 weeks' gestation comes to the physician for a follow-up examination 2 days after an increased blood pressure measurement. She now reports having a headache and visual disturbances for the past 12 hours. Her only medication is a prenatal vitamin. Her temperature is 36.7°C (98.1°F), pulse is 90/min, and blood pressure is 164/80 mm Hg. Her blood pressure at her first-trimester prenatal visit was 110/70 mm Hg. Physical examination shows no abnormalities. Laboratory studies show:
Hemoglobin 12.5 g/dL
Platelet count 285,000/mm3
Serum
Creatinine 1.0 mg/dL
Urine
Blood negative
Protein negative
Which of the following is the most likely primary component in the pathogenesis of this patient's condition?""",Abnormal remodeling of spiral arteries,"['Vasogenic cerebral edema', 'Increase in circulating plasma volume', 'Hyperperfusion of placental tissue', 'Abnormal remodeling of spiral arteries', 'Overactivation of the coagulation cascade']",yes,Vasogenic cerebral edema
"A 36-year-old man comes to the physician for a 4-week history of swollen legs. He has difficulty putting on socks because of the swelling. Two years ago, he was diagnosed with sleep apnea. He takes no medications. He emigrated from Guatemala with his family when he was a child. He is 171 cm (5 ft 6 in) tall and weighs 115 kg (253 lb); BMI is 39 kg/m2. His pulse is 91/min and blood pressure is 135/82 mm Hg. Examination shows periorbital and bilateral lower extremity edema.
Serum
Albumin 3.1 g/dL
Total cholesterol 312 mg/dL
Urine
Blood negative
Protein +4
RBC 1-2/hpf
RBC cast negative
Fatty casts numerous
A renal biopsy is obtained. Which of the following is most likely to be seen under light microscopy of the patient's renal biopsy specimen?""",Segmental sclerosis of the glomeruli,"['Segmental sclerosis of the glomeruli', 'Fibrin crescents within the glomerular space', 'Diffuse thickening of glomerular capillaries', 'Eosinophilic nodules within the glomeruli', 'Amyloid deposition in the mesangium']",yes,Fibrin crescents within the glomerular space
"A previously healthy 20-year-old man comes to the physician because of a 6-month history of a painless mass in his left groin that has been gradually increasing in size. Physical examination shows a 3x3-cm oval, non-tender left inguinal mass and a fluctuant, painless left scrotal swelling that increase in size with coughing. Which of the following is the most likely cause of this patient's symptoms?",Failure of processus vaginalis to close,"['Failure of processus vaginalis to close', 'Obstruction of left spermatic vein', 'Reduced fluid reabsorption at tunica vaginalis', 'Widening of femoral ring', 'Weakening of transversalis fascia\n""']",yes,Failure of processus vaginalis to close
"A 46-year-old woman comes to the emergency department because of intermittent abdominal pain and vomiting for 2 days. The abdominal pain is colicky and diffuse. The patient's last bowel movement was 3 days ago. She has had multiple episodes of upper abdominal pain that radiates to her scapulae and vomiting over the past 3 months; her symptoms subsided after taking ibuprofen. She has coronary artery disease, type 2 diabetes mellitus, gastroesophageal reflux disease, and osteoarthritis of both knees. Current medications include aspirin, atorvastatin, rabeprazole, insulin, and ibuprofen. She appears uncomfortable. Her temperature is 39°C (102.2°F), pulse is 111/min, and blood pressure is 108/68 mm Hg. Examination shows dry mucous membranes. The abdomen is distended and tympanitic with diffuse tenderness; bowel sounds are high-pitched. Rectal examination shows a collapsed rectum. Her hemoglobin concentration is 13.8 g/dL, leukocyte count is 14,400/mm3, and platelet count is 312,000/mm3. An x-ray of the abdomen is shown. Which of the following is the most likely cause of this patient's findings?",Cholecystoenteric fistula,"['Cholecystoenteric fistula', 'Cecal torsion', 'Bowel infarction', 'Viscus perforation', 'Colonic diverticuli inflammation']",yes,Viscus perforation
"An otherwise healthy 27-year-old man presents to the Emergency Department with dark urine and left flank pain. He has had a fever, sore throat, and malaise for the last 2 days. Vital signs reveal a temperature of 38.1°C (100.5°F), blood pressure of 120/82 mm Hg, and a pulse of 95/min. His family history is noncontributory. Physical examination reveals enlarged tonsils with tender anterior cervical lymphadenopathy. Urinalysis shows pink urine with 20–25 red cells/high power field and 2+ protein. This patient’s condition is most likely due to which of the following?",Diffuse mesangial IgA deposition,"['Inherited abnormalities in type IV collagen', 'Autoantibodies against alpha-3 chain of type IV collagen', 'C3 nephritic factor', 'Immune complex deposition', 'Diffuse mesangial IgA deposition']",yes,Immune complex deposition
"A 23-year-old man presents to the emergency department with testicular pain. His symptoms started 15 minutes ago and have not improved on the ride to the hospital. The patient’s past medical history is non-contributory, and he is not currently taking any medications. His temperature is 98.5°F (36.9°C), blood pressure is 123/62 mmHg, pulse is 124/min, respirations are 18/min, and oxygen saturation is 98% on room air. Physical exam is notable for a non-tender abdomen. The patient’s right testicle appears higher than his left and is held in a horizontal position. Stroking of the patient’s medial thigh elicits no response. Which of the following is the best treatment for this patient?",Bilateral surgical procedure,"['Bilateral surgical procedure', 'Ceftriaxone', 'Ciprofloxacin', 'Manual detorsion', 'Surgical debridement']",yes,Manual detorsion
"A healthy 28-year-old woman at 30-weeks gestational age, has gained 35lbs since becoming pregnant. She complains of several weeks of bilateral numbness and tingling of her palms, thumbs, index and middle fingers that is worse at night. She also notes weakness gripping objects at the office. Which nerve is most likely affected?",Median nerve,"['Median nerve', 'Ulnar nerve', 'Radial nerve', 'Axillary nerve', 'Anterior interosseous nerve']",yes,Median nerve
"A 45-year-old man is brought by his wife with a complaint of an ongoing progressive history of memory problems for 6 months. He is an accountant by profession. He has difficulty remembering things and events, which has affected his job. He began using a diary to aid with remembering his agenda. His wife also says that he has wet his pants multiple times in the past 2 months and he avoids going out. He has been smoking 1 pack of cigarettes daily for the past 20 years. His past medical history is unremarkable. The vital signs include: blood pressure of 134/76 mm Hg, a pulse of 70 per minute, and a temperature of 37.0°C (98.6°F). His mini-mental state examination (MMSE) result is 22/30. His extraocular movements are normal. The muscle tone and strength are normal in all 4 limbs. The sensory examination is unremarkable. He has an absent Romberg’s sign. He walks slowly, taking small steps, with feet wide apart as if his feet are stuck to the floor. The CT scan of the head is shown in the image. What is the most likely diagnosis of the patient?",Normal-pressure hydrocephalus,"['Early-onset Alzheimer’s disease', 'Frontotemporal dementia', 'Normal-pressure hydrocephalus', 'Parkinson’s disease', 'Progressive supranuclear palsy']",yes,Normal-pressure hydrocephalus
"A 25-year-old woman presents to her college campus clinic with the complaint of being unable to get up for her morning classes. She says that, because of this, her grades are being affected. For the past 6 weeks, she says she has been feeling depressed because her boyfriend dumped her. She finds herself very sleepy, sleeping in most mornings, eating more snacks and fast foods, and feeling drained of energy. She is comforted by her friend’s efforts to cheer her up but still feels guarded around any other boy that shows interest in her. The patient says she had similar symptoms 7 years ago for which she was prescribed several selective serotonin reuptake inhibitors (SSRIs) and a tricyclic antidepressant (TCA). However, none of the medications provided any long-term relief. She has prescribed a trial of Phenelzine to treat her symptoms. Past medical history is significant for a long-standing seizure disorder well managed with phenytoin. Which of the following statements would most likely be relevant to this patient’s new medication?","“While taking this medication, you should avoid drinking red wine.”","['“While taking this medication, you should avoid drinking red wine.”', '“You will have a risk for cardiotoxicity from this medication.”', '“While on this medication, you may have a decreased seizure threshold.”', '“This medication is known to cause anorgasmia during treatment.”', '“A common side effect of this medication is sedation.”']",yes,"""A common side effect of this medication is sedation."""
"A 65-year-old man presents to his primary-care doctor for a 2-month history of dizziness. He describes feeling unsteady on his feet or like he's swaying from side-to-side; he's also occasionally had a room-spinning sensation. He first noticed it when he was in the front yard playing catch with his grandson, and he now also reliably gets it when throwing the frisbee with his dog. The dizziness only happens during these times, and it goes away after a couple of minutes of rest. His medical history is notable for type 2 diabetes mellitus treated with metformin. His vital signs are within normal limits in the office. The physical exam is unremarkable. Which of the following is the next best test for this patient?",Doppler ultrasound,"['Ankle-brachial index', 'CT head (noncontrast)', 'Doppler ultrasound', 'Electrocardiogram', 'Transthoracic echocardiogram']",yes,Transthoracic echocardiogram
"A 49-year-old man is brought to the emergency department after collapsing on the ground at a grocery store 30 minutes ago. His wife states that he complained of dizziness and chest pain prior to falling down. Medical history is significant for hypertension and diabetes mellitus. His wife says that he is not compliant with his medications. His temperature is 37.0°C (98.6°F), respiratory rate is 15/min, pulse rate is 67/min, and blood pressure is 122/98 mm Hg. Physical examination, including chest auscultation, is within normal limits. He is awake and in distress. The on-call resident who is evaluating him decides to do a 12-lead ECG, which is shown in the exhibit. The initial blood test results are normal. A second set of blood samples are sent to the lab after 6 hours. Which of the following results is most likely to be seen in this patient?",Elevated troponins and elevated CK-MB,"['Elevated troponins and normal CK-MB', 'Normal CK-MB and normal troponins', 'Elevated troponins and elevated CK-MB', 'Normal troponins and increased CK-MB', 'Decreased troponins and increased CK-MB']",yes,Elevated troponins and elevated CK-MB
"A 36-year-old woman is brought to the emergency department after a high-speed motor vehicle collision. Her temperature is 36.5°C (97.7°F), pulse is 120/min, respirations are 24/min, and blood pressure is 100/65 mm Hg. Examination shows second and third-degree burns covering 30% of the surface area of her body. Intravenous fluids are administered. 30 minutes later, the patient develops respiratory distress and requires intubation. Administration of succinylcholine during the procedure is most likely to increase this patient's risk of developing which of the following laboratory abnormalities?",Hyperkalemia,"['Hyperphosphatemia', 'Hypermagnesemia', 'Hyperkalemia', 'Hypernatremia', 'Hyperglycemia']",yes,Hyperkalemia
"A 58-year-old woman comes to the physician because of a 3-month history of itching of both legs. She also has swelling and dull pain that are worse at the end of the day and are more severe in her right leg. She has hyperthyroidism, asthma, and type 2 diabetes mellitus. Four years ago, she had basal cell carcinoma of the face that was treated with Mohs surgery. Current medications include methimazole, albuterol, and insulin. She has smoked 3–4 cigarettes a day for the past 29 years. She goes to a local sauna twice a week. Her temperature is 37°C (98.6°F), pulse is 75/min, respirations are 16/min, and blood pressure is 124/76 mm Hg. Physical examination shows fair skin with diffuse freckles. There is 2+ pitting edema of the right leg and 1+ pitting edema of the left leg. There is diffuse reddish-brown discoloration and significant scaling extending from the ankle to the mid-thigh bilaterally. Pedal pulses and sensation are intact bilaterally. Which of the following is the most likely underlying mechanism of this patient's symptoms?",Venous valve incompetence,"['Type IV hypersensitivity reaction', 'Venous valve incompetence', 'Malignant proliferation of epidermal keratinocytes', 'Dermal accumulation of glycosaminoglycans', 'Breach of skin barrier by dermatophyte']",yes,Dermal accumulation of glycosaminoglycans
"A 14-year-old boy is brought to the emergency department by his mom after she found him complaining of headaches, nausea, lightheadedness, and muscle pain. He has had type I diabetes for 3 years with very well managed blood sugars, and he is otherwise healthy. He recently returned from a boy scout skiing trip where he drank from a mountain stream, ate unusual foods, and lived in a lodge with a wood-fired fireplace and cooking stove. On physical exam he has a diffuse redness of his skin. Which of the following changes to this patient's pulmonary system would cause oxygen to exhibit similar transport dynamics as the most likely cause of this patient's symptoms?",Interstitial fibrosis,"['Interstitial fibrosis', 'Interstitial thinning', 'Increasing capillary transit time', 'Increasing capillary length', 'Nitrous oxide administration']",yes,Interstitial fibrosis
"A 70-year-old man presents to a physician with a cough and difficulty breathing during the last 7 years. He has smoked since his teenage years and regularly inhales tiotropium, formoterol, and budesonide and takes oral theophylline. The number of exacerbations has been increasing over the last 6 months. His temperature is 37.2°C (99°F), the heart rate is 92/min, the blood pressure is 134/88 mm Hg and the respiratory rate is 26/min. On chest auscultation breath sounds are diffusely decreased and bilateral rhonchi are present. Pulse oximetry shows his resting oxygen saturation to be 88%. Chest radiogram shows a flattened diaphragm, hyperlucency of the lungs, and a long, narrow heart shadow. The physician explains this condition to the patient and emphasizes the importance of smoking cessation. In addition to this, which of the following is most likely to reduce the risk of mortality from the condition?",Supplemental oxygen,"['Low-dose oral prednisone', 'Prophylactic azithromycin', 'Roflumilast', 'Pulmonary rehabilitation', 'Supplemental oxygen']",yes,Pulmonary rehabilitation
"An 11-year-old male with light purple eyes presents with gradual loss of bilateral visual acuity. Over the past several years, vision has worsened from 20/20 to 20/100 in both eyes. He also has mild nystagmus when focusing on objects such as when he is trying to do his homework. He is diagnosed with a disease affecting melanin production in the iris. If both of his parents are unaffected, which of the following represents the most likely probabilities that another male or female child from this family would be affected by this disorder?",Male: 50% Female: 0%,"['Same as general population', 'Male: 25% Female: 25%', 'Male: 50% Female: 50%', 'Male: 50% Female: 0%', 'Male: 100% Female: 0%']",yes,Male: 50% Female: 50%
"A 6-year-old boy is brought to the office by his mother. She reports that her son is well but has some concerns about his overall health: he is shorter and, physically, seems less developed compared to his siblings when they were the same age. He recently started school and the mother reports that the boy’s teachers are concerned with his learning capability. His height and weight are in the 10th and 15th percentiles, respectively. Lab results reveal:
Hemoglobin 10 gm/dL
Mean corpuscular volume 110 fL
Multi-segmented neutrophils are seen on peripheral blood smear. Urinary orotic acid levels are found to be high. What is the most likely cause of this patient’s condition?",Deficiency of uridine monophosphate synthase,"['Deficiency of uridine monophosphate synthase', 'Overactivity of uridine monophosphate synthase', 'Inhibition of carbamoyl phosphate synthetase II', 'Activation of inosine monophosphate dehydrogenase', 'Deficiency of cobalamin']",yes,Deficiency of cobalamin
"A 4-year-old boy is brought to the physician by his mother because of left-sided neck swelling that has slowly progressed over the past 4 weeks. He has no history of serious illness. Temperature is 38°C (100.4°F). Physical examination shows a non-tender, mobile mass in the left submandibular region with overlying erythema. A biopsy of the mass shows caseating granulomas. Pharmacotherapy with azithromycin and ethambutol is initiated. This patient is most likely to experience which of the following adverse effects related to ethambutol use?",Color blindness,"['Orange urine', 'Acute kidney injury', 'Color blindness', 'Methemoglobinemia', 'Peripheral neuropathy']",yes,Color blindness
"A 33-year-old woman presents to the emergency department with pain in her right wrist. She says she was walking on the sidewalk a few hours ago when she suddenly slipped and landed forcefully on her outstretched right hand with her palm facing down. The patient is afebrile, and vital signs are within normal limits. Physical examination of her right wrist shows mild edema and tenderness on the lateral side of the right hand with a decreased range of motion. Sensation is intact. The patient is able to make a fist and OK sign with her right hand. A plain radiograph of her right wrist is shown in the image. Which of the following bones is most likely fractured in this patient?",Bone labeled 'D',"[""Bone labeled 'A'"", ""Bone labeled 'B'"", ""Bone labeled 'C'"", ""Bone labeled 'D'"", ""Bone labeled 'E'""]",yes,Bone labeled 'C'
"A 31-year-old woman presents to the emergency department with a 2-week history of dry cough and shortness of breath on exertion. She says that she has also been feeling joint pain that has been increasing over time and is worst in the mornings. Finally, she has noticed painful swellings that have been appearing on her body over the last month. Her past medical history is significant for childhood asthma that does not require any current medications. She drinks socially and has smoked 2 packs per day since she was 16 years old. Physical exam reveals erythematous nodular lesions on her trunk and upper extremities. Serum protein electrophoresis shows polyclonal gammopathy. Which of the following would most likely also be seen in this patient?",Noncaseating granulomas,"['Acid-fast rods', 'Antibodies to small nuclear ribonucleoproteins', 'Golden-brown fusiform rods', 'Macrophages with black phagocytosed particles', 'Noncaseating granulomas']",yes,Noncaseating granulomas
"A 73-year-old man is brought to the emergency department by ambulance after being found to be non-communicative by his family during dinner. On presentation he appears to be alert, though he is confused and cannot follow instructions. When he tries to speak, he vocalizes a string of fluent but unintelligible syllables. Given this presentation, his physician decides to administer tissue plasminogen activator to this patient. This intervention best represents which of the following principles?",Tertiary prevention,"['Primary prevention', 'Seconday prevention', 'Tertiary prevention', 'Quartenary prevention', 'This does not represent prevention']",yes,Tertiary prevention
"A 43-year-old woman presents for a routine checkup. She says she has been uncontrollably grimacing and smacking her lips for the past 2 months, and these symptoms have been getting progressively worse. Past medical history is significant for schizophrenia, managed medically with clozapine. Which of the following is the most likely diagnosis in this patient?",Tardive dyskinesia,"['Torticollis', 'Oculogyric crisis', 'Tourette’s syndrome', 'Tardive dyskinesia', 'Trismus']",yes,Tardive dyskinesia
"A 47-year-old Hispanic man presents with complaints of recent heat intolerance and rapid heart rate. The patient has also experienced recent unintentional weight loss of 15 pounds. Physical exam reveals tachycardia and skin that is warm to the touch. A radioactive iodine uptake scan of the thyroid reveals several focal nodules of increased iodine uptake. Prior to this study, the physician had also ordered a serum analysis that will most likely show which of the following?",Low TSH and high T4,"['High TSH and low T4', 'Low TSH and high T4', 'High TSH and normal T4', 'High TSH and high T4', 'Low TSH and low T4']",yes,High TSH and high T4
"An epidemiologist is interested in studying the clinical utility of a free computerized social skills training program for children with autism. A total of 125 participants with autism (mean age: 12 years) were recruited for the study and took part in weekly social skills training sessions for 3 months. Participants were recruited from support groups in a large Northeastern US city for parents with autistic children. Parents in the support group were very eager to volunteer for the study, and over 300 children were placed on a waiting list while the study was conducted. At baseline and at the end of the 3-month period, participants were observed during a videotaped social play exercise and scored on a social interaction rating scale by their parents. Social interaction rating scores following the 3-month intervention were more than twice as high as baseline scores (p < 0.001). During exit interviews, one parent commented, """"I knew from the start that this program was going to be life-changing for my son!"""" This sentiment was echoed by a number of other parents. Which of the following is the most likely explanations for the study's result?""",Observer bias,"['Social desirability bias', 'Recall bias', 'Observer bias', 'Sampling bias', 'Confounding bias']",yes,Observer bias
"A 64-year-old man presents to the emergency department with acute onset of chest pain. He says the pain is substernal and radiates to his left arm. He has a history of hypertension, diabetes mellitus, erectile dysfunction, benign prostate hyperplasia, and panic disorder. He takes aspirin, lisinopril, metformin, sildenafil, prazosin, and citalopram. An electrocardiogram shows new ST-elevations in the lateral leads. He undergoes catherization, which reveals a complete blockage of the left circumflex artery. A stent is placed, and the patient is discharged with clopidogrel and isosorbide mononitrate. Five days later the patient presents to the emergency department complaining of fainting spells. The patient’s temperature is 97°F (37.2°C), blood pressure is 89/53 mmHg, and pulse is 90/min. Physical examination is unremarkable. An electrocardiogram reveals lateral Q waves without ST or T wave abnormalities. Which of the following is the most likely cause of the patient’s presentation?",Medication interaction,"['Fibrinous pericarditis', 'Medication interaction', 'Myocardial wall rupture', 'Papillary muscle rupture', 'Stent thrombosis']",yes,Stent thrombosis
"A 43-year-old male is admitted to the hospital for a left leg cellulitis. He is being treated with clindamycin and is recovering nicely. On the second day of his admission, a nurse incorrectly administers 100 mg of metoprolol which was intended for another patient with the same last name. The error is not discovered until the next day, at which time it is clear that the patient has suffered no ill effects of the medication and is not aware that an error has occurred. What is the proper course of action of the attending physician?",Immediately disclose the error to the patient,"['Immediately disclose the error to the patient', 'Notify hospital administration but do not notify the patient as no ill effects occurred', 'Do not disclose the error to the patient as no ill effects occurred', 'Tell the nurse who administered the drug to notify the patient an error has occurred', ""Make a note in the patient's chart an error has occurred but do not disclose the error to the patient""]",yes,Immediately disclose the error to the patient
"A 23-year-old male presents to the emergency department. He was brought in by police for shouting on a subway. The patient claims that little people were trying to kill him, and he was acting within his rights to defend himself. The patient has a past medical history of marijuana and IV drug use as well as multiple suicide attempts. He is currently homeless. While in the ED, the patient is combative and refuses a physical exam. He is given IM haloperidol and diphenhydramine. The patient is transferred to the inpatient psychiatric unit and is continued on haloperidol throughout the next week. Though he is no longer aggressive, he is seen making ""armor"" out of paper plates and plastic silverware to defend himself. The patient is switched onto risperidone. The following week the patient is still seen gathering utensils, and muttering about people trying to harm him. The patient's risperidone is discontinued. Which of the following is the best next step in management?",Clozapine,"['Chlorpromazine', 'Fluphenazine', 'Thioridazine', 'Olanzapine', 'Clozapine']",yes,Olanzapine
