input,label
"Product Name: Chic Star Flared Retro Skirt In Purple 093022 Description: It's a retro skirt with buttons in waist and ruffles in bottom hem. Side zip.
 
 Standard size approx. length: 28 inches; Plus size approx. length: 31 inches.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 
 MATERIAL:
 90% POLYESTER
 10% SPANDEX
 
 CARE:
 MACHINE WASH
 WASH SEPARATELY
 DO NOT BLEACH
 WARM IRON
 DO NOT TUMBLE DRY",Knee-Length
"Product Name: DIVA DOSE CUTOUT SLEEVELESS MIDI DRESS Description: * Style No.: HF23C282
 
 
 
 IT'S ABOUT TIME YOU LET YOUR SULTRY SIDE OUT! MADE WITH A RUCHED BUST AND DAINTY SHOULDER STRAPS THAT CRISSCROSS AT THE BACK, THE BODICE IS DECORATED WITH A CUTOUT AND O-RING DETAIL AT THE WAIST. FIGURE-ADHERING SILHOUETTE IS ACCENTED WITH A SIDE SLIT.
 
 
 
 MODEL IS 5' 7"" TALL, 32"" CHEST, 25"" WAIST AND 35"" HIPS AND WEARING A SIZE SMALL
 
 
 
 IMPORTED. DESIGNED IN THE USA",Midi
"Product Name: FD7257 Love Forever Off The Shoulder Tiered Dress Description: FD7257
 
 
 
 This ditsy floral dress features off-the-shoulder, voluminous long sleeves, ruffled edges, and a sash tie detail. It has elastic bands on the necklines, waist, and sleeve openings. Fully lined. Model is 5'9"" and wearing size Small. 
 
 
 
 Shell: 100% Rayon
 
 Lining: 100% Rayon",Midi
"Product Name: D52747 French terry animal print knit dress Description: D52747
 French terry animal print knit dress",Mini
"Product Name: ...._ SC93232 PREMIUM LONG SLEEVE FLARE DRESS WITH POCKETS Description: ***Image usage is allowed to the buyers who purchase from us via Faire only.
 
 Breeze through your weekday with the effortless look of this relaxed tunic dress enriched with pockets for keeping hands cozy. Its solid hue makes a fresh base to pair with jackets and boots for season-spanning comfort and style.
  Size S: 36"" long from high point of shoulder to hemModel (wearing size S): 5' 7'' tall; 32'' chest; 25'' waist; 35'' hips55% polyester / 40% rayon / 5% spandexMachine washImported
 Fabric Content: 57% POLYESTER 38% RAYON 5% SPANDEX
 
 *Good for Christmas gifting*",Knee-Length
"Product Name: ChicStar Short Sleeve Retro Dress In Red Floral Description: It's a retro dress with scoop neckline and short sleeves. Belt ties in waist. Back center zip. The petticoat is not included.
 
 Standard size approx. length: 42 inches; Plus size approx. length: 46 inches.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 
 MATERIAL:
 BODY
 100% COTTON
 
 CARE:
 MACHINE WASH
 WASH SEPARATELY
 DO NOT BLEACH
 WARM IRON
 DO NOT TUMBLE DRY",Knee-Length
Product Name: Cap Sleeve Band Collar Cotton Dress Description: nan,Midi
"Product Name: Chic Star Belted Pleat Dress In Red Dots 030923 Description: The retro style dress is made of polka-dot fabric, with bow accent that leads into large one side pleats, flare out in the bottom hem, the petticoat is not included.
 
 Standard size approx. length: 43.70 inches; Plus size approx. length: 48.43 inches.
 
 97% cotton / 3% spandex; Machine wash.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 
 MATERIAL:
 97% COTTON
 3% SPANDEX
 
 CARE:
 MACHINE WASH
 WASH SEPARATELY
 DO NOT BLEACH
 WARM IRON
 DO NOT TUMBLE DRY",Knee-Length
"Product Name: HALF SLEEVE RIBBED KNIT MINI DRESS Description: HALF SLEEVE RIBBED KNIT MINI DRESS
 
 
 
 78% POLY 22% RAYON
 
 
 
 MADE IN USA
 
 
 
  SLH7644",Mini
"Product Name: MAHOGANY WINE CHARCOAL TIE DYE FLOUNCE MIDI DRESS Description: Features: round neck, long sleeves, tent line, asymmetric shirred hemline, side pockets, shift, soft, cozy, unlined, lightweight, trendy, fashion,",Knee-Length
"Product Name: Liv Mini Ruffle Dress - Black Stripes Description: Liv Mini Ruffled Dress has an effortless silhouette designed for wonderers and intuitive women. This relaxed dress features an open back with adjustable straps, leaving you free to explore and enjoy the lazy days on beach with an open heart. It has delicate details like ruffles trim that completes your feminine silhouette. 
 
 How to wear it: Paired with wicker sandals and barely there natural look jewelry. 
 
 - V-neckline
 - Adjustable straps. 
 - Ruffle trim
 - 100% Turkish cotton
 - One size fits most
 - Length with Adjustable Straps: 33,5-37,5'' (85-95,1 cm), Bust: 17,7'' (45 cm)
 - Garment care: Wash in a laundry bag on delicate or gentle cycle, lay flat to dry or tumble dry, no heat, do not bleach 
 Fabrics are created exclusively for The Handloom and brought to life by skilled artisan partners in Turkey.",Mini
"Product Name: KIMONO SLEEVES WRAP DRESS Description: A woven mini dress featuring a wrap-front design with waist self-ties, surplice neckline, floral motifs throughout, kimono sleeves and a relaxed fit.
 
 -Model is 5'9"" and wearing a Small",Mini
"Product Name: Ruffled detail mini dress with square neckline, 1/2 balloon Description: Ruffled detail mini dress with square neckline, 1/2 balloon sleeves, tie cuff detail, and hidden back zipper closure.
 China",Mini
Product Name: BALLON STYLE LONG SLEEVE CROPPED TOP WITH MATCHING SKIRT SET Description: BALLON STYLE LONG SLEEVE CROPPED TOP WITH MATCHING SKIRT SET,Mini
Product Name: Hoodie Tie Dye Sweatshirt Dress Description: The White Mark Sweatshirt invigorates your favorite hoodie giving a familiar-but-fresh look and comfortable fleece coverage from day to night.,Mini
"Product Name: Girls Foiled Star Striped Long Sleeve Dress Description: * Style No.: JM03-GY6409
 
 Girls Foiled Star Striped Long Sleeve Dress
 *Striped Mesh Fabric
 *Elastc Waistline
 *Dress Lining
 
 S(7/8),M(9/10),L(11/12),XL(13/14)",Knee-Length
"Product Name: Women’s The Downtime Sweatshirt Dress Description: Pact’s eco-friendly and affordable Women’s The Downtime Sweatshirt Dress made with organic cotton. Inspired by our popular Essential Sweatshirt, this dress is the definition of cozy chic. Garment dyed for a vintage look on arrival. Flattering side panel with on-seam pockets. Layer over our Purefit Legging when temps drop. Hits above the knee. We recommend ordering your true size. Machine wash cold with like colors. Tumble dry low. 100% Organic Cotton. GOTS Certified Organic Cotton. Fair Trade Certified™ Factory.",Mini
"Product Name: Green hued dress Description: This dress ensures that you look neat. You don't need a jacket over the top, but you can wear one if you want to vary the styles.",Midi
"Product Name: ITY Bra Cup Side Rouched Maxi Dress Description: * Style No.:DK1119
 
 
 
 ITY Spaghetti Strap Bra Cup Side Rouched Side Slit Maxi Dress
 
 Elegant, Sexy, Cocktail, Club, Nigh Out, Evening, Casual Dress",Maxi
"Product Name: ROV0115A SHORT SLEEVE SHORT DRESS Description: Short dress. Straight cut. Short sleeves Flywheels. Collar v. buttons. Color blue, green, orange. 100% viscose.Washing: Washing machine 30°C.Corresponding sizes FR: S/M - L/XL (36/38 - 40/42) Corresponding US sizes: S/M - 8/10) Corresponding UK sizes: S/M - L/XL (8/10 - 12/14) Corresponding sizes DE: S/M - L/XL (34/36 - 38/40)",Knee-Length
Product Name: V NECK CAP SLEEVE TIERED MINI DRESS Description: V NECK CAP SLEEVE TIERED MINI DRESS 100% RAYON MADE IN VIETNAM SLI1346,Mini
"Product Name: 40% off-- Blue Terrazzo Long Sleeve Sideline Dress Description: classic modern style in a thoroughly modern stretch cotton jersey. wide neckline with stand-up collar, big, covered button and hidden snap at collarbone. A-line shape. Knee length.
  95/5 cotton-lycra jersey, preshrunk and colorfast. Machine wash and dry on low temp settings.",Knee-Length
"Product Name: Linen Front Button Dress Brigit Pure Black Description: Want to make a statement with your dress? From al fresco dinners and first dates to summer weddings, Brigit dress provides head-turning compliments and makes a lasting impression in whatever destination you are going. Featuring a flowy skirt, dreamy cap sleeves, and a gentle V-neckline, our sun dress is consciously made from organic 100% Linen fabric, and is a sure-fire for all seasons. Bonus point: It is organic and has OEKO-TEX certification which means the garment has gone through extensive testing to ensure that it is safe from all harmful chemicals and dyes. This gives peace of mind to anyone with sensitive or delicate skin. You can dress this elegant gown up with heels or down with strappy sandals. 
 
 TYPE: Dress 
 STYLE: Shirt 
 FIT: Regular 
 PATTERN: Solid 
 NECKLINE: V-Neck 
 SLEEVE LENGTH: Cap sleeves 
 POCKETS: Yes 
 SPECIALTIES: Button closure in the front, elastic waistband with tie 
 FABRIC: 100% Linen 
 FABRIC WEIGHT: 200gsm
 MADE IN: Lithuania",Midi
"Product Name: EKS3137 Pink Tweed Holiday Skirt Description: TWEED MINI SKIRT WITH BUTTON FRONT DETAIL
 
 100% POLYESTER",Mini
"Product Name: Poly Back Tie Up Maxi Dress Description: ♡ A maxi dress featuring back tie closure, smocking waistband, frill hem, heart neckline, adjustable thin shoulder straps, and sleeveless.
 
 ♡ Self & Lining: 100% polyester
 
 ♡ Made in China
 
  
 
 ♡ Model ♡  
 
 Height: 5’9” Bust: 34”, Waist: 24” Hip:34",Maxi
Product Name: RETRO STYLE POLKA DOT CORDUROY DRESS Description: RETRO STYLE POLKA DOT CORDUROY DRESS,Knee-Length
"Product Name: Cayman Longer Skort Description: Product Information:
 Style #: 322-CM22
 Sporty, stylish & sun safe, this versatile 17"" skort is ready to take you from the courts to the country club. Functional & fashionable, this skort features two side pockets and built-in shorts. Plus, the moisture-wicking UPF 50+ fabric is lightweight, breathable and wrinkle-resistant!",Mini
"Product Name: CWDSD0771_LAPEL SHORT DRESS Description: LONG SLEEVED LAPEL SHORT DRESS
 
 SIZE S(2) - M(2) - L(2) - XL(2)
 MADE IN CHINA
 
 WOMEN BLAZER, BATHING SUITS, CROCHET CARDIGAN, CABLE KNIT SWEATER, WHOLESALE T SHIRTS, BEACH COVER UPS, RUFFLE DRESS, EYELET BLOUSE, PUFF SLEEVE TOP, FLORAL DRESS",Mini
"Product Name: Striped Shoulder Tie Midi Dress Description: Striped Shoulder Tie Midi Dress
 Self: 100% Rayon| Lining: 100% Rayon
 Size S(2) - M(2) - L(2)
 Made in China
 
 * MODEL IS 5'10"" AND IS WEARING A SMALL.",Midi
"Product Name: CAMI MAXI DRESS WITH SIDE POCKETS Description: SKU : ..SZRS1024....
 
 
 
 V-NECK CAMI MAXI DRESS WITH SIDE POCKETS
 
 - ADJUSTABLE STRAPS
 
 TOTAL BODY LENGTH (HIGH POINT BUST): 48.5"", BUST: 34"" approx.
 
 - MEASURED FROM SMALL
 
 57% polyester 38% rayon 5% spandex",Maxi
Product Name: BD4787-A - REGULAR SIZE Description: WAFFLE MINI DRESS WITH BUTTON UP DETAIL,Mini
"Product Name: ChicStar Retro Polka-Dot Swing Dress In Black Polka-dot Description: The dress, features polka-dot on the bust with tie and in the pleats, two pleats in the front and back respectively, flaring out in the bottom hem, the petticoat is not included.
 
 Standard size approx. length: 43.27 inches; Plus size approx. length: 48.35 inches.
 
 97% cotton / 3% spandex; Machine wash.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 
 MATERIAL:
 97% COTTON
 3% SPANDEX
 
 CARE:
 MACHINE WASH
 WASH SEPARATELY
 DO NOT BLEACH
 WARM IRON
 DO NOT TUMBLE DRY",Knee-Length
Product Name: JE966 Description: JE966,Maxi
Product Name: 31673D - V-Neck Multi Stripe Ruffle Tunic Dress Description: V Neck Multi Stripe Ruffle Tunic Dress,Mini
"Product Name: Shimmer silk pleat midi skirt in teal. Description: Shimmer silk pleat midi skirt in teal.
 
 100% silk feel polyester 
 
 Length: 82cm",Midi
Product Name: Loose Blue Ruffle Dress Description: This blue dress is crafted in woven viscose fabric. It has a round neckline. There is a 3cm wide placket in the front with decorative buttons which can be worn open or fastened. The dress has ¾ length raglan bishop sleeves with 2 buttons at the cuffs. There are two wide ruffle panels: one starting at the waist and one starting in the middle of the skirt. The dress is styled in a loose silhouette and hits above the knee.,Knee-Length
"Product Name: Mystical Princess | 2 Piece Set Description: Outfit set inspired by your favorite princess! Set includes Floral Dress + purse!  Channel your Inner Isabelle Vibes!  PERFECT for make believe play, a daytime fun dress or as our little girls love-- princess nightgowns!
 
 Fits True to Size, with lots of stretch and is very soft! Harper is wearing the size 3T and is 29 pounds. She can also wear the 2T but went up a size for longer wear and playtime or a night gown 
 
 This is the ultimate FAVE for the Season! 
 
 
 
  ",Knee-Length
"Product Name: Women’s Fit & Flare Tie-back Dress Description: Pact’s eco-friendly and affordable Women’s Fit & Flare Tie-back Dress made with organic cotton. The newest addition to our Fit & Flare collection, with a flattering bodice, flowy skirt, and flirty tie-back. Prepare for compliments!. Soft, stretch fabric for everyday wear. Double-layered front bodice for full coverage. Elastic waist seam. Two hidden side pockets. Open back with a sweet-as-pie bow tie. We recommend ordering your true size. Machine wash cold. Tumble dry low. 95% Organic Cotton. 5% Elastane. GOTS Certified Organic Cotton. Fair Trade Certified™ Factory.",Knee-Length
"Product Name: Women Dress, Long Sleeve Dress, Loose Dress Winter Dress Description: Women Dress, Long Sleeve Dress, Loose Dress, Winter Dress, Viscose Dress, Wrap Dress, Flare Dress, Bow Dress, Elegant Dress, Pocket
 
 Women Dress, Long Sleeve Dress, Loose Dress
 
 When You dress LeMuse You feel beautiful and cozy. LeMuse hides all imperfections and makes You perfect.
 
 DETAILS:
 - Color: light gray.
 - Handmade in our studio.
 - Fits for any body size women.
 - Custom orders available on request. Custom orders are not refundable. Time to produce - approximately 2 weeks.
 
 COLOR OPTIONS:
 - You can choose available colors in the drop down menu above.
 - Colors might vary depending on computer monitor settings and lightening.
 
 CARE:
 - Turn inside out before washing.
 - Use warm hand wash or cold machine wash (gentle cycle).
 - Do not bleach, soak, rub, or tumble dry.
 - Warm iron on inverse if needed.
 
 SIZING:
 - Please, refer to item measurements (before purchasing) in our clothing size chart as the picture of this listing",Knee-Length
"Product Name: Polar Isle Red Christmas Bamboo Girls' Long Sleeve Dress Description: So cozy you could live in this. We are so excited to add our newest product, the lounge dress! Our Luxuriously Soft Bamboo Dresses are the cutest and most comfortable loungewear you could put your loved one in, we promise.
 
 *Meant to be long, below knees, size down if you would prefer a shorter knee-length dress. 
 
  * Awarded the Seal of Acceptance from the National Eczema Association with a 5 Star Rating as a skin-friendly product Great for Kids. 
  * Perfect fit Designed to fit all body types with a little stretch and a luxuriously smooth fabric. 
  * Oeko-Tex Certified to be completely Free of Chemicals and pesticides. 
  * Tagless! Free of all things irritating to our babies ever so sensitive skin.",Knee-Length
"Product Name: Katie Sleeveless Mini Dress Description: Fit is true to size. 
 
 Sizing:
 
  * Small 0-4 
  * Medium 6-8 
  * Large 10-12 
  * XL 14-16 
 
 Model is wearing a size small.
 
 95%Polyester 5%Elastane",Knee-Length
"Product Name: Chic Star Lace Midi Dress In Green Description: It's a mid-sleeve knee length dress with laces in bust, sleeves and front center of skirt. Decorative buttons in waist and sleeve cuffs. Side zip.
 
 Standard size S approx. length: 108 cm/ 42.5 inches; Plus size approx. length: 117 cm/ 46.1 inches.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 CUSTOM LABEL AVAILABLE, PLEASE CONTACT US FOR DETAILS.
 
 
 MATERIAL:
 BODY
 97% COTTON
 3% SPANDEX
 TRIM
 48% NYLON
 52% COTTON
 
 CARE:
 HAND WASH
 DO NOT WRING
 DO NOT BLEACH
 MEDIUM IRON
 NO TUMBLE DRY
 DRIP DRY",Knee-Length
"Product Name: White Knee length Draped Women’s Skirt Bow High Waist Eco Description: Our bestseller looks beautiful, draped to perfection falls on the body and can be tied with a bow or a stash. Fully lined in cupro. Can be worn open as shown, or completely covered to look more modest. 
 
 High waisted, yet true to size, the hips fit freely for perfect comfort. 
 
 Ethically made in India
 
 Gorgeous drape, for a unique silhouette. 
 
 Closes at the back with an invisible zipper. 
 
 Made from eco friendly tencel & cupro.",Knee-Length
"Product Name: [WISHLIST] WL22-7113 - REGULAR SIZE Description: DOUBLE STRAP MINI DRESS WITH RUFFLE DETAIL
 - ADJUSTABLE STRAPS AND LINED",Mini
"Product Name: Short Sleeve Midi Dress with Elastic Waist Description: Short Sleeve Midi Dress with Elastic Waist 
 
 - This dress features banded crew neckline, short sleeves, elastic waistline, fixed waist ties, side slits and pull-over style.
 - 5-6 Years (Small), 7-8 Years (Medium), 9-10 Years (Large)
 - Easy removable label. 
 - 95% Rayon 5% Spandex
 - Made in USA
 - Hand wash cold or dry clean. Do not bleach. Hang to dry.",Midi
"Product Name: ETK-8763 Polka Dot Floral Striped Dress Description: Floral, Polka Dot, Striped Contrast Babydoll Tiered Tunic Dress 
 
 96% Polyester 4% Spandex, 95% Rayon 5% Spandex",Mini
"Product Name: LEOPARD PRINTED DRESS Description: LEOPARD PRINTED MINI DRESS WITH SELF TIE BACK AND FLUTTER SLEEVES 
 
 
 
 100% Poly
 
 
 
 Made in USA SLH6333",Mini
"Product Name: Linen Flounces summer Dress VALERIA Description: Purple Linen summer Dress with classic collar, two sides pockets and front buttons.
 
  * A-line dress. 
  * Made of: 100% linen. 
  * The model wears size M - 5′6″ / 170 cm.",Midi
"Product Name: SUPESU Eden Slip Dress, Cowl Neckline - Willow Blue Description: Elegant and minimalist, our Eden slip dress is 
 
 * made to last quality
 * elegant and versatile
 * a top trending item, cowl neckline
 * low maintenance, anti-wrinkle properties
 
 From coffee dates, home lounging, museum adventures, to simple grocery shopping, this silky comfort piece is sure to be your go-to for multiple occasions. 
 
 Made with SUPESU Satin, a proprietary satin with extra soft, silky smooth satin fabric developed by our SUPESU Fabric Dev Team.
 
 FIT: 
 Fits best with Apple, Rectangle and Inverted Triangle Body Types.
 Does not fit Hourglass or Pear Body Types.
 
 STYLING:
 Best layered with a jean or leather jacket, casual cardigan. Pair with black booties, casual white kicks, or bare feet around the comfort of your home. 
 
 DETAILS:
 Style: Cowl Neckline, Loose Fit Satin Slip Dress, 
 Fabric: SUPESU Satin, 100% Polyester, Anti-wrinkle Properties
 Model: 5'8, wearing M
 Wash & Care: Wash with like-colors, cold water. Put in the dryer and skip the iron. Dry with fabric softener",Midi
"Product Name: Ikumi Dress Description: Beautiful classy white dress with a blue glittery flounce in front. Pearl button back closure.
 
 90% Cotton 10% Polyester
 
 Hand Wash",Knee-Length
"Product Name: SET-SKIRT Description: SET-SKIRT
 
 83% POLYESTER, 17% RAYON",Mini
"Product Name: EMBROIDERED MINI DRESS - BLACK Description: MINI DRESS
 EMBROIDERED
 FRONT SMOCKING
 TIERED
 
 MODEL WEARS A SIZE SMALL",Mini
"Product Name: D4570-FLORAL MESH WITH LINING MEXI DRESS Description: FLORAL MESH WITH LINING MEXI DRESS
 BEST SELLING DRESS, MUST HAVE ITEM
 GOOD STRETCHY, SOFT FABRIC
 FITTED&ELEGANT&COMFORT
 Made In USA
 POLYESTER 95%, SPANDEX 5%
 1 PACK | 6 PCS. S(2)/M(2)/L(2)",Maxi
Product Name: Grey Maternity Dress - Pregnancy Dress Description: #NAME?,Knee-Length
"Product Name: Chantria Dress Description: This mid-century silhouette is crafted from from a lightweight recycled polyester fabric, with white flowers dancing throughout a yellow backdrop. The vintage style bodice is centred by a self-tie keyhole, and tiered ruffle sleeves. The back zipper nips in your form and the sweeping swing skirt drops from the empire waist to your knees for complete vintage appeal!",Knee-Length
Product Name: Skirt High Waist - Ocean Washed Tiles Description: This high wasist skirt has a classic fit and an A-line cut with midi length.,Midi
"Product Name: SOLID DRESS WITH BUTTON Description: ** IN STOCK NOW **
 
 
 
 95% RAYON 5% SPANDEX
 
 SHORT SLEEVE ROUND NECK SOLID DRESS WITH BUTTON AND SIDE POCKET DETAIL
 
 
 
 MODEL SIZE: HEIGHT 5'7"", BUST 34"", WAIST 24"", HIPS 34"" 
 
 WEARING SIZE: SMALL
 
 
 
 *The garment color may differ slightly upon arrival due to being taken with professional lighting also depending on what device you maybe using to shop*",Knee-Length
"Product Name: SQUARE NECK BABY DOLL DRESS (PLUS/REG) KRD4241 Description: SQUARE NECK BABY DOLL DRESS
 KRD4241",Mini
"Product Name: Chic Star Plus Size Curpo Viscose Dress In Orange 021623 Description: It's a long sleeve midi dress made of soft curpo and viscose fabric. Drawstring in neckline with ruffles and cut-out in bust. Elastic back and cuffs. Waist belt. Side zip.
 
 Standard size S approx. length: 116 cm/ 45.7 inches; Plus size approx. length: 125 cm/ 49.2 inches.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 CUSTOM LABEL AVAILABLE, PLEASE CONTACT US FOR DETAILS.
 
 
 MATERIAL:
 60% CURPO
 40% VISCOSE
 
 CARE:
 HAND WASH
 DO NOT WRING
 DO NOT BLEACH
 MEDIUM IRON
 NO TUMBLE DRY
 DRIP DRY",Midi
"Product Name: OFF-SHOULDER FRONT SHIRRING CUT-OUT DRESS Description: OFF-SHOULDER FRONT SHIRRING CUT-OUT DRESS
 84%NYLON 16%SPANDEX | IMPORTED
 MODEL IS 5'8"" AND IS WEARING A SMALL",Mini
"Product Name: Chic Star Velvet Mesh Dress In Purple 041323 Description: It's a short sleeve maxi dress made of floral flocked velvet mesh fabric. Body lined. Back center zip.
 
 Standard size approx. length: 58.3 inches; Plus size approx. length: 61.8 inches.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 CUSTOM LABEL AVAILABLE, PLEASE CONTACT US FOR DETAILS.
 
 
 MATERIAL:
 SHELL
 100% POLYESTER
 LINING
 100% POLYESTER
 
 CARE:
 MACHINE WASH
 WASH SEPARATELY
 DO NOT BLEACH
 WARM IRON
 DO NOT TUMBLE DRY",Maxi
"Product Name: ChicStar 1950s Summer Print Dress In Green Description: This dress features the hidden side seam pockets. Removable ribbon sash belt. Sleeveless. Side zip. The petticoat is not included.
 
 Standard size approx. length:38 inches; Plus size approx. length:42 inches.
 
 FREE WORLDWIDE SHIPPING WITH ONE WEEK DELIVERY TIME.
 
 MATERIAL:
 100% COTTON
 
 CARE:
 MACHINE WASH
 WASH SEPARATELY
 DO NOT BLEACH
 WARM IRON
 DO NOT TUMBLE DRY",Knee-Length
Product Name: Solid mini a-line Skirt with a back Gold-zipper Description: Latex/Patent solid mini a-line Skirt with a back Gold-zipper enclosure. (WT. 0.7),Mini
"Product Name: Mock neck knitted mini dress with square cut hem KC33026 Description: Mock neck knitted mini dress with square cut hem
 
 Coffee & grey & green color available
 
 Soft touch cashmere blended knitted fabric
 Mock neck
 Square cut hem line
 Long sleeve
 Regular fit
 Imported",Mini
"Product Name: Women's Long Crochet Dress Description: Get ready to unleash your inner bohemian goddess and embrace the spirit of freedom with our ""Women's Long Crochet Dress."" This dreamy dress is a delightful fusion of vintage-inspired charm and intricate crochet craftsmanship. With its flowing silhouette and delicate crochet details, it captures the essence of carefree style and bohemian elegance. Whether you're twirling at music festivals, exploring the beauty of nature, or simply radiating positive vibes in your everyday life, this dress will be your go-to attire. Let it be your stylish expression of freedom, creativity, and everlasting bohemian bliss. With the ""Women's Long Crochet Dress,"" you'll effortlessly exude the magic of the hippie era and dance to your own rhythm wherever you go. Peace, love, and endless adventures await you in this fabulous dress!",Maxi
"Product Name: JUPE LIN ORANGE BILLY Description: Billy is a 100% linen skirt, made with Hermes deadstock material. It has been designed and produced in Paris.
 
 Once you've placed your order, you can expect to receive it within 14 to 16 days.
 
 Fabric: LINEN
 
 Color: ORANGE
 
 Size: 34,36,38",Mini
"Product Name: CD02774-Knit V-neck Tank Dress Description: Knit V-Neck tank dress with ruffled hem and zippered back. Lined.
 Model Size + Fit:
 Model height: 5'9"" Dress size: 2 Bust: 33 Waist: 25 Hips: 34",Mini
"Product Name: TIERED RUFFLE MAXI SKIRT Description: SKU : SSK412....
 
 
 
 ***NEW***
 
 ELASTIC WAIST TIERED RUFFLE MAXI SKIRT
 
 57% polyester 38% rayon 5% spandex",Maxi
"Product Name: Snake skin printed maxi dress Description: STYLE NO : ED10727
 - Snake skin print maxi dress
 - Woven
 - Long sleeve with smocked hem
 - Round neck with button down 
 - Loose fit silhouette
 - 100% Polyester
 
 * Model is 5'8"" and wearing a small.",Midi
"Product Name: SD384622 PU LEATHER LONG SLEEVE MINI DRESS Description: SD384622 PU LEATHER LONG SLEEVE MINI DRESS
 
 55% POLYESTER, 45% PU
 
 
 
 MODEL IS WEARING A SMALL
 
 HEIGHT 5'7""
 
 BUST 34
 
 WAIST 25
 
 HIPS 39.5",Mini
"Product Name: Linen Basic Dress Zoe (optional handmade embroidery) Description: IMPORTANT - This item can be embroidered by hand. The embroidery is OPTIONAL. To have this item embroidered please select ""Customize this item for US$0,00/unit"" under size and color selectors and buy the embroidery separately in our catalogue.
 
 Long, loose silhouette 
 Double-layered in the chest area?
 Washed and soft medium weight linen (160 g/m²)
 Optional handmade embroidery
 Embroidered on the thigh area, on the left side of the dress",Maxi
"Product Name: .SI-15922 SLEEVELESS MAXI DRESS SIDE SLITS POCKETS Description: Breeze through your day in sunny style and cool comfort in this flowing maxi dress fitted with side pockets and a rounded hemline that splits at the sides.
 
 HPS: 52'' measured from size small
 Model (wearing size S): 5' 7'' tall; 32'' chest; 25'' waist; 35'' hips
 75% viscose / 22% polyester / 3% elastane
 Machine wash
 Imported",Maxi
"Product Name: PRINTED MIDI SKIRT (SK2585-Pink) Description: Eye-catching abstract print in shades of pink
 Timeless and classic midi length design
 Flared hem adds a playful and feminine touch",Midi
"Product Name: Darlene Retro Full Circle Dress in Mint Green-Coral Description: Our Darlene swing dress would look perfect at any occasion, day or night! The 50s style dress features flattering short sleeves, a wide fitted waistband, a vintage full circle skirt and a vintage off the shoulder neckline with button detail. This stylish rockabilly dress is made from super soft cotton and fastens with a concealed side zip.
 Length of dress from underarm: 81cm*
 Width of hem: 183cm*
 *Please note that these lengths were taken from a size 12 dress and can vary, depending on the size. Please see our size chart for further measurements.
 Fabric Composition: 95% cotton, 5% elastane.
 Print: Stunning green multi tone print
 Thanks to our friendÂ neno_myvintagesheila for this great image.",Knee-Length
"Product Name: The Boyfriend Skirt Starter Set Description: Ease in to class and comfort with this sustainable swap. We present you with the Boyfriend Skirt. Repurposed from men's dress shirts, each skirt is unique. We source all shirts from thrift stores making them an eco-friendly option for your shop. While there have been a few repeats over the years, but 99% of our skirts are completely one of a kind patterns. Our team sources a strong balance between flannels/plaids, fun/wild prints, and your classic solids. Your starter set will come comprised of an eclectic mix that appeal to your customers. Please remember that because they are sourced as vintage, there will be a range in age and also come with gentle wear and tear. We inspect and repair all major issues to be sure your selection will be in the best condition. Any shirt not in good enough condition for apparel gets added to our smaller accessory collections.
 Each Starter Set is 8 skirts including 1-XS, 2-S, 2-M, 2-L, & 1-XL.",Mini
"Product Name: Sexy Solid Ruched O Ring Halter Neck Crisscross Back Bodycon Description: Sexy Solid Ruched O Ring Halter Neck Crisscross Back Bodycon Dress
 
 It's very comfortable and not see through.
 
 White color can be see through a little.
 
 92% Polyester 8% Spandex
 
 Model is 5' 8"" and is wearing a S.",Mini
"Product Name: Ruffle-Hem Lace Dress Description: Ruffle hem lace dress.
 s",Knee-Length
"Product Name: Womens Floral Print Ruffle Neck Puff Sleeve Dress Description: Womens Floral Print Ruffle Neck Puff Sleeve Dress
 
 *Floral Woven Fabric
 
 *Smocked Neck
 
 *Puff Sleeve (WT. 0.8)",Mini
"Product Name: SD1062S SOLID DRESS WITH RUFFLED Description: 95% RAYON 5% SPANDEX
 SLEEVELESS V NECK SOLID DRESS WITH RUFFLED DETAIL
 
 MODEL SIZE: HEIGHT 5'9"", BUST 32"", WAIST 23.5"", HIPS 34"" 
 WEARING SIZE: SMALL
 
 *The garment color may differ slightly upon arrival due to being taken with professional lighting also depending on what device you maybe using to shop*",Mini
